Var1,Var2,r,se,p,n,Analysis,absZ
SmfqFullM 14yr,AsqLangu 6mo,0.028,0.009,0,13354,FS,3.26
SpinFullC 14yr,AsqLangu 6mo,0.023,0.008,0,15334,FS,2.84
SppaSociaC 14yr,AsqLangu 6mo,-0.039,0.007,0,20718,FS,5.65
SwlsFullC 14yr,AsqLangu 6mo,-0.009,0.007,0,20699,FS,1.29
YptiFullC 14yr,AsqLangu 6mo,0.012,0.007,0,20573,FS,1.71
IcqFussi 6mo,AsqMotor 6mo,0.066,0.003,0,88572,FS,20
AsqLangu 18mo,AsqMotor 6mo,0.191,0.004,0,72449,FS,53.06
AsqMotor 18mo,AsqMotor 6mo,0.313,0.003,0,72466,FS,94.85
CbclExter 18mo,AsqMotor 6mo,0,0.004,0,72788,FS,0
CbclInter 18mo,AsqMotor 6mo,0.067,0.004,0,72612,FS,18.11
EasActiv 18mo,AsqMotor 6mo,0.138,0.004,0,72438,FS,38.33
EasEmoti 18mo,AsqMotor 6mo,-0.034,0.004,0,72446,FS,9.19
EasShyne 18mo,AsqMotor 6mo,0.07,0.004,0,72426,FS,18.92
EasSocia 18mo,AsqMotor 6mo,0.055,0.004,0,72429,FS,14.86
AsqLangu 3yr,AsqMotor 6mo,0.143,0.004,0,56271,FS,34.88
AsqMotor 3yr,AsqMotor 6mo,0.15,0.004,0,56203,FS,36.59
CbclExter 3yr,AsqMotor 6mo,0.039,0.004,0,52213,FS,8.86
CbclInter 3yr,AsqMotor 6mo,0.064,0.004,0,52086,FS,14.55
CfqPress 3yr,AsqMotor 6mo,0.017,0.004,0,55321,FS,3.95
CfqRestr 3yr,AsqMotor 6mo,0.001,0.004,0,55303,FS,0.23
EasActiv 3yr,AsqMotor 6mo,0.084,0.004,0,52067,FS,19.09
EasEmoti 3yr,AsqMotor 6mo,-0.034,0.004,0,52074,FS,7.73
EasShyne 3yr,AsqMotor 6mo,0.063,0.004,0,52056,FS,14.32
EasSocia 3yr,AsqMotor 6mo,0.053,0.004,0,52060,FS,12.05
