Var1,Var2,r,se,p,n,Analysis,absZ
NhpicBenev 8yr,EasActiv 3yr,-0.089,0.005,3.33e-17,34046,FS,16.48
NhpicConsc 8yr,EasActiv 3yr,0.038,0.005,6.65e-19,34049,FS,7.04
RsdbdAdhd 8yr,EasActiv 3yr,-0.153,0.005,4.51e-10,34073,FS,28.87
RsdbdCondu 8yr,EasActiv 3yr,-0.068,0.005,0,34122,FS,12.59
RsdbdHyper 8yr,EasActiv 3yr,-0.208,0.005,1.51e-141,34065,FS,40
RsdbdInatt 8yr,EasActiv 3yr,-0.093,0.005,1.62e-52,34072,FS,17.22
RsdbdOdd 8yr,EasActiv 3yr,-0.07,0.005,3.28e-106,34060,FS,12.96
ScaredFull 8yr,EasActiv 3yr,0.038,0.005,0,34083,FS,7.04
ScqRestr 8yr,EasActiv 3yr,0.029,0.005,0,34092,FS,5.37
ScqSocia 8yr,EasActiv 3yr,0.026,0.005,1.88e-126,34117,FS,4.81
SmfqFull 8yr,EasActiv 3yr,-0.043,0.005,0,34039,FS,7.96
SpinFull 8yr,EasActiv 3yr,0.021,0.006,0,33303,FS,3.82
SprakSeman 8yr,EasActiv 3yr,0.027,0.007,0,20512,FS,3.86
CapeFullC 14yr,EasActiv 3yr,0.016,0.008,1.62e-70,16450,FS,2.05
PeqParenC 14yr,EasActiv 3yr,0.005,0.008,7.94e-30,16493,FS,0.64
SbSchooC 14yr,EasActiv 3yr,-0.003,0.008,1.2e-18,15033,FS,0.37
SclAnxieC 14yr,EasActiv 3yr,0.014,0.008,8.8e-239,15040,FS,1.71
SclDepreC 14yr,EasActiv 3yr,0.028,0.008,1.25e-71,15035,FS,3.46
SdqProsoC 14yr,EasActiv 3yr,0,0.008,0.000172,15062,FS,0
SdqProsoM 14yr,EasActiv 3yr,-0.031,0.009,0,12342,FS,3.44
SmfqFullC 14yr,EasActiv 3yr,0.019,0.009,8.92e-15,13751,FS,2.24
SmfqFullM 14yr,EasActiv 3yr,-0.005,0.009,0,11817,FS,0.54
SpinFullC 14yr,EasActiv 3yr,0.043,0.009,2.33e-19,13406,FS,5
SppaSociaC 14yr,EasActiv 3yr,-0.043,0.008,9.25e-68,16509,FS,5.51
SwlsFullC 14yr,EasActiv 3yr,-0.013,0.008,2.72e-37,16493,FS,1.67
YptiFullC 14yr,EasActiv 3yr,-0.057,0.008,9.84e-20,16391,FS,7.31
EasShyne 3yr,EasEmoti 3yr,-0.204,0.004,0,53210,FS,48.57
EasSocia 3yr,EasEmoti 3yr,-0.059,0.004,0,53213,FS,13.72
ItseaCompe 3yr,EasEmoti 3yr,0.104,0.004,0,53218,FS,24.19
ItseaDysre 3yr,EasEmoti 3yr,-0.125,0.004,0,52928,FS,29.07
ItseaExter 3yr,EasEmoti 3yr,-0.391,0.004,0,52950,FS,105.68
ItseaInter 3yr,EasEmoti 3yr,-0.126,0.004,0,52932,FS,29.3
ScqRestr 3yr,EasEmoti 3yr,0.139,0.004,0,53188,FS,32.33
ScqSocia 3yr,EasEmoti 3yr,-0.046,0.004,0,53221,FS,10.7
SdqProso 3yr,EasEmoti 3yr,0.203,0.004,0,53118,FS,48.33
AsqLangu 5yr,EasEmoti 3yr,-0.069,0.006,0,31344,FS,12.32
AsqMotor 5yr,EasEmoti 3yr,0.052,0.006,0,31349,FS,9.29
CastFull 5yr,EasEmoti 3yr,0.013,0.009,0,11588,FS,1.4
CbclExter 5yr,EasEmoti 3yr,-0.291,0.005,0,31844,FS,57.06
CbclInter 5yr,EasEmoti 3yr,-0.226,0.005,0,31775,FS,42.64
CccCoher 5yr,EasEmoti 3yr,0.121,0.006,0,31915,FS,22
CprsrsFull 5yr,EasEmoti 3yr,-0.219,0.005,0,31895,FS,41.32
EasActiv 5yr,EasEmoti 3yr,-0.057,0.006,0,31901,FS,10.18
EasEmoti 5yr,EasEmoti 3yr,0.428,0.005,0,31906,FS,93.04
EasShyne 5yr,EasEmoti 3yr,-0.134,0.006,0,31890,FS,24.36
EasSocia 5yr,EasEmoti 3yr,-0.038,0.006,0,31897,FS,6.79
SlasFull 5yr,EasEmoti 3yr,0.036,0.011,0,8224,FS,3.27
SprakExpre 5yr,EasEmoti 3yr,-0.072,0.006,0,26865,FS,11.8
SprakRecep 5yr,EasEmoti 3yr,-0.124,0.006,0,26867,FS,20.67
SprakSeman 5yr,EasEmoti 3yr,-0.107,0.006,0,26878,FS,17.83
CccCoher 8yr,EasEmoti 3yr,-0.108,0.006,0,24730,FS,17.14
CebqFull 8yr,EasEmoti 3yr,-0.083,0.005,0,33968,FS,15.37
NhpicBenev 8yr,EasEmoti 3yr,-0.253,0.005,0,34048,FS,49.61
NhpicConsc 8yr,EasEmoti 3yr,0.12,0.005,0,34051,FS,22.64
RsdbdAdhd 8yr,EasEmoti 3yr,-0.178,0.005,0,34075,FS,34.23
RsdbdCondu 8yr,EasEmoti 3yr,-0.121,0.005,0,34124,FS,22.83
RsdbdHyper 8yr,EasEmoti 3yr,-0.158,0.005,0,34067,FS,29.81
RsdbdInatt 8yr,EasEmoti 3yr,-0.155,0.005,0,34074,FS,29.25
RsdbdOdd 8yr,EasEmoti 3yr,-0.263,0.005,0,34062,FS,52.6
ScaredFull 8yr,EasEmoti 3yr,-0.09,0.005,0,34085,FS,16.67
ScqRestr 8yr,EasEmoti 3yr,0.099,0.005,0,34094,FS,18.33
ScqSocia 8yr,EasEmoti 3yr,0.003,0.005,0,34119,FS,0.56
SmfqFull 8yr,EasEmoti 3yr,-0.181,0.005,0,34041,FS,34.81
SpinFull 8yr,EasEmoti 3yr,-0.102,0.005,0,33305,FS,18.89
SprakSeman 8yr,EasEmoti 3yr,-0.103,0.007,0,20512,FS,14.93
CapeFullC 14yr,EasEmoti 3yr,-0.039,0.008,0,16449,FS,5
PeqParenC 14yr,EasEmoti 3yr,0.046,0.008,0,16492,FS,5.9
SbSchooC 14yr,EasEmoti 3yr,-0.037,0.008,0,15032,FS,4.57
SclAnxieC 14yr,EasEmoti 3yr,-0.054,0.008,0,15039,FS,6.67
SclDepreC 14yr,EasEmoti 3yr,-0.053,0.008,0,15034,FS,6.54
SdqProsoC 14yr,EasEmoti 3yr,0.033,0.008,0,15061,FS,4.07
SdqProsoM 14yr,EasEmoti 3yr,0.103,0.009,0,12342,FS,11.57
SmfqFullC 14yr,EasEmoti 3yr,-0.059,0.009,0,13751,FS,6.94
SmfqFullM 14yr,EasEmoti 3yr,-0.107,0.009,0,11817,FS,11.76
SpinFullC 14yr,EasEmoti 3yr,-0.034,0.009,0,13406,FS,3.95
SppaSociaC 14yr,EasEmoti 3yr,0.045,0.008,0,16508,FS,5.77
SwlsFullC 14yr,EasEmoti 3yr,0.045,0.008,0,16492,FS,5.77
YptiFullC 14yr,EasEmoti 3yr,-0.033,0.008,0,16390,FS,4.23
EasSocia 3yr,EasShyne 3yr,0.809,0.002,1.67e-188,53206,FS,539.33
ItseaCompe 3yr,EasShyne 3yr,-0.104,0.004,0,53202,FS,24.19
ItseaDysre 3yr,EasShyne 3yr,0.067,0.004,0,52914,FS,15.58
ItseaExter 3yr,EasShyne 3yr,0.032,0.004,3.41e-241,52936,FS,7.44
ItseaInter 3yr,EasShyne 3yr,0.124,0.004,0,52917,FS,28.84
ScqRestr 3yr,EasShyne 3yr,-0.048,0.004,8.78e-42,53170,FS,11.16
ScqSocia 3yr,EasShyne 3yr,0.163,0.004,0,53203,FS,38.81
SdqProso 3yr,EasShyne 3yr,-0.21,0.004,0,53100,FS,51.22
AsqLangu 5yr,EasShyne 3yr,0.106,0.006,0,31335,FS,18.93
AsqMotor 5yr,EasShyne 3yr,-0.079,0.006,0,31340,FS,14.11
CastFull 5yr,EasShyne 3yr,-0.069,0.009,0,11584,FS,7.5
CbclExter 5yr,EasShyne 3yr,0.032,0.006,7.67e-82,31835,FS,5.71
CbclInter 5yr,EasShyne 3yr,0.224,0.005,1.03e-170,31767,FS,42.26
CccCoher 5yr,EasShyne 3yr,-0.146,0.006,3.46e-63,31906,FS,26.55
CprsrsFull 5yr,EasShyne 3yr,0.05,0.006,1.03e-101,31886,FS,8.93
EasActiv 5yr,EasShyne 3yr,-0.203,0.005,1.48e-72,31891,FS,37.59
EasEmoti 5yr,EasShyne 3yr,-0.133,0.006,0,31896,FS,24.18
EasShyne 5yr,EasShyne 3yr,0.542,0.004,4.4e-52,31890,FS,135.5
EasSocia 5yr,EasShyne 3yr,0.418,0.005,6.16e-296,31894,FS,90.87
SlasFull 5yr,EasShyne 3yr,-0.101,0.011,0,8219,FS,9.27
SprakExpre 5yr,EasShyne 3yr,0.158,0.006,0,26859,FS,26.78
SprakRecep 5yr,EasShyne 3yr,0.098,0.006,0,26861,FS,16.33
SprakSeman 5yr,EasShyne 3yr,0.128,0.006,0,26872,FS,21.33
CccCoher 8yr,EasShyne 3yr,0.119,0.006,1.45e-50,24725,FS,18.89
CebqFull 8yr,EasShyne 3yr,0.097,0.005,4.31e-135,33960,FS,17.96
NhpicBenev 8yr,EasShyne 3yr,0.061,0.005,3.57e-20,34040,FS,11.3
NhpicConsc 8yr,EasShyne 3yr,-0.057,0.005,4.99e-18,34043,FS,10.56
RsdbdAdhd 8yr,EasShyne 3yr,-0.009,0.005,0.00149,34067,FS,1.67
RsdbdCondu 8yr,EasShyne 3yr,0.012,0.005,0,34116,FS,2.22
RsdbdHyper 8yr,EasShyne 3yr,-0.056,0.005,5.78e-128,34059,FS,10.37
RsdbdInatt 8yr,EasShyne 3yr,0.022,0.005,8.94e-54,34066,FS,4.07
RsdbdOdd 8yr,EasShyne 3yr,0.054,0.005,8.32e-104,34054,FS,10
ScaredFull 8yr,EasShyne 3yr,0.125,0.005,0,34077,FS,23.58
ScqRestr 8yr,EasShyne 3yr,-0.069,0.005,0,34086,FS,12.78
ScqSocia 8yr,EasShyne 3yr,0.041,0.005,8.99e-123,34111,FS,7.59
SmfqFull 8yr,EasShyne 3yr,0.059,0.005,0,34033,FS,10.93
SpinFull 8yr,EasShyne 3yr,0.126,0.005,0,33297,FS,23.33
SprakSeman 8yr,EasShyne 3yr,0.129,0.007,0,20508,FS,18.7
CapeFullC 14yr,EasShyne 3yr,-0.007,0.008,1.28e-66,16445,FS,0.9
PeqParenC 14yr,EasShyne 3yr,-0.019,0.008,3.43e-26,16488,FS,2.44
SbSchooC 14yr,EasShyne 3yr,0.01,0.008,1.23e-15,15029,FS,1.22
SclAnxieC 14yr,EasShyne 3yr,0.016,0.008,1.65e-235,15036,FS,1.95
SclDepreC 14yr,EasShyne 3yr,0.016,0.008,4.3e-68,15031,FS,1.95
SdqProsoC 14yr,EasShyne 3yr,-0.063,0.008,0.000757,15058,FS,7.78
SdqProsoM 14yr,EasShyne 3yr,-0.145,0.009,0,12340,FS,16.48
SmfqFullC 14yr,EasShyne 3yr,0.005,0.009,3.2e-11,13749,FS,0.59
SmfqFullM 14yr,EasShyne 3yr,0.03,0.009,0,11816,FS,3.26
SpinFullC 14yr,EasShyne 3yr,0.045,0.009,9.65e-15,13404,FS,5.23
SppaSociaC 14yr,EasShyne 3yr,-0.071,0.008,2.04e-63,16504,FS,9.22
SwlsFullC 14yr,EasShyne 3yr,-0.026,0.008,3.5e-33,16488,FS,3.33
YptiFullC 14yr,EasShyne 3yr,-0.015,0.008,2.56e-16,16386,FS,1.92
ItseaCompe 3yr,EasSocia 3yr,-0.092,0.004,0,53205,FS,21.4
ItseaDysre 3yr,EasSocia 3yr,0.018,0.004,0,52916,FS,4.19
ItseaExter 3yr,EasSocia 3yr,-0.007,0.004,2.28e-247,52938,FS,1.63
ItseaInter 3yr,EasSocia 3yr,0.073,0.004,0,52919,FS,16.98
ScqRestr 3yr,EasSocia 3yr,-0.022,0.004,2.28e-52,53173,FS,5.12
ScqSocia 3yr,EasSocia 3yr,0.178,0.004,0,53206,FS,42.38
SdqProso 3yr,EasSocia 3yr,-0.168,0.004,0,53104,FS,40
AsqLangu 5yr,EasSocia 3yr,0.112,0.006,0,31337,FS,20
AsqMotor 5yr,EasSocia 3yr,-0.074,0.006,0,31342,FS,13.21
CastFull 5yr,EasSocia 3yr,-0.11,0.009,0,11585,FS,11.96
CbclExter 5yr,EasSocia 3yr,0.009,0.006,4.52e-85,31837,FS,1.61
CbclInter 5yr,EasSocia 3yr,0.134,0.006,2.69e-165,31769,FS,24.36
CccCoher 5yr,EasSocia 3yr,-0.126,0.006,4.78e-71,31908,FS,22.91
CprsrsFull 5yr,EasSocia 3yr,0.024,0.006,7.98e-107,31888,FS,4.29
EasActiv 5yr,EasSocia 3yr,-0.162,0.006,4.68e-77,31894,FS,29.45
EasEmoti 5yr,EasSocia 3yr,-0.053,0.006,0,31898,FS,9.46
EasShyne 5yr,EasSocia 3yr,0.435,0.005,1.47e-62,31889,FS,96.67
EasSocia 5yr,EasSocia 3yr,0.442,0.005,4.12e-291,31898,FS,98.22
SlasFull 5yr,EasSocia 3yr,-0.081,0.011,0,8220,FS,7.36
SprakExpre 5yr,EasSocia 3yr,0.124,0.006,0,26860,FS,20.67
SprakRecep 5yr,EasSocia 3yr,0.086,0.006,0,26862,FS,14.1
SprakSeman 5yr,EasSocia 3yr,0.112,0.006,0,26873,FS,18.67
CccCoher 8yr,EasSocia 3yr,0.116,0.006,6.54e-54,24729,FS,18.41
CebqFull 8yr,EasSocia 3yr,0.061,0.005,3.43e-144,33966,FS,11.3
NhpicBenev 8yr,EasSocia 3yr,0.017,0.005,5.46e-22,34046,FS,3.15
NhpicConsc 8yr,EasSocia 3yr,-0.037,0.005,1.36e-22,34049,FS,6.85
RsdbdAdhd 8yr,EasSocia 3yr,-0.01,0.005,1.32e-06,34073,FS,1.85
RsdbdCondu 8yr,EasSocia 3yr,0.023,0.005,0,34122,FS,4.26
RsdbdHyper 8yr,EasSocia 3yr,-0.043,0.005,2.9e-136,34065,FS,7.96
RsdbdInatt 8yr,EasSocia 3yr,0.013,0.005,2.21e-56,34072,FS,2.41
RsdbdOdd 8yr,EasSocia 3yr,0.016,0.005,8.54e-112,34060,FS,2.96
ScaredFull 8yr,EasSocia 3yr,0.073,0.005,0,34083,FS,13.52
ScqRestr 8yr,EasSocia 3yr,-0.059,0.005,0,34092,FS,10.93
ScqSocia 8yr,EasSocia 3yr,0.079,0.005,7.5e-128,34117,FS,14.63
SmfqFull 8yr,EasSocia 3yr,0.034,0.005,0,34039,FS,6.3
SpinFull 8yr,EasSocia 3yr,0.086,0.005,0,33303,FS,15.93
SprakSeman 8yr,EasSocia 3yr,0.115,0.007,0,20511,FS,16.67
CapeFullC 14yr,EasSocia 3yr,-0.023,0.008,1.38e-72,16447,FS,2.95
PeqParenC 14yr,EasSocia 3yr,-0.005,0.008,4.97e-32,16490,FS,0.64
SbSchooC 14yr,EasSocia 3yr,0.011,0.008,1.71e-22,15031,FS,1.34
SclAnxieC 14yr,EasSocia 3yr,-0.009,0.008,1.27e-243,15038,FS,1.1
SclDepreC 14yr,EasSocia 3yr,-0.01,0.008,2.62e-75,15033,FS,1.22
SdqProsoC 14yr,EasSocia 3yr,-0.066,0.008,3.63e-08,15060,FS,8.15
SdqProsoM 14yr,EasSocia 3yr,-0.114,0.009,0,12340,FS,12.81
SmfqFullC 14yr,EasSocia 3yr,-0.02,0.009,1.1e-13,13751,FS,2.35
SmfqFullM 14yr,EasSocia 3yr,0.007,0.009,0,11816,FS,0.76
SpinFullC 14yr,EasSocia 3yr,0.028,0.009,2.65e-18,13406,FS,3.26
SppaSociaC 14yr,EasSocia 3yr,-0.059,0.008,2.13e-67,16506,FS,7.56
SwlsFullC 14yr,EasSocia 3yr,-0.02,0.008,6.04e-37,16490,FS,2.56
YptiFullC 14yr,EasSocia 3yr,-0.015,0.008,5.76e-21,16388,FS,1.92
ItseaDysre 3yr,ItseaCompe 3yr,-0.108,0.004,0,58090,FS,26.34
ItseaExter 3yr,ItseaCompe 3yr,-0.197,0.004,0,58113,FS,49.25
ItseaInter 3yr,ItseaCompe 3yr,-0.25,0.004,0,58092,FS,64.1
ScqRestr 3yr,ItseaCompe 3yr,0.267,0.004,0,58291,FS,70.26
ScqSocia 3yr,ItseaCompe 3yr,-0.121,0.004,0,58333,FS,29.51
SdqProso 3yr,ItseaCompe 3yr,0.198,0.004,0,58345,FS,49.5
AsqLangu 5yr,ItseaCompe 3yr,-0.128,0.005,0,33068,FS,23.7
AsqMotor 5yr,ItseaCompe 3yr,0.112,0.005,0,33070,FS,20.74
CastFull 5yr,ItseaCompe 3yr,0.069,0.009,0,12326,FS,7.67
CbclExter 5yr,ItseaCompe 3yr,-0.145,0.006,0,32062,FS,26.36
CbclInter 5yr,ItseaCompe 3yr,-0.139,0.006,0,31993,FS,25.27
CccCoher 5yr,ItseaCompe 3yr,0.147,0.005,0,33889,FS,27.74
CprsrsFull 5yr,ItseaCompe 3yr,-0.165,0.005,0,33866,FS,31.13
EasActiv 5yr,ItseaCompe 3yr,-0.015,0.006,0,31968,FS,2.68
EasEmoti 5yr,ItseaCompe 3yr,0.095,0.006,0,31973,FS,17.27
EasShyne 5yr,ItseaCompe 3yr,-0.078,0.006,0,31958,FS,13.93
EasSocia 5yr,ItseaCompe 3yr,-0.088,0.006,0,31966,FS,16
SlasFull 5yr,ItseaCompe 3yr,0.164,0.01,0,8747,FS,15.77
SprakExpre 5yr,ItseaCompe 3yr,-0.122,0.006,0,28515,FS,21.03
SprakRecep 5yr,ItseaCompe 3yr,-0.123,0.006,0,28518,FS,21.21
SprakSeman 5yr,ItseaCompe 3yr,-0.136,0.006,0,28531,FS,23.45
CccCoher 8yr,ItseaCompe 3yr,-0.164,0.006,0,25813,FS,26.89
CebqFull 8yr,ItseaCompe 3yr,-0.064,0.005,0,35882,FS,12.08
NhpicBenev 8yr,ItseaCompe 3yr,-0.078,0.005,0,35966,FS,15
NhpicConsc 8yr,ItseaCompe 3yr,0.059,0.005,0,35969,FS,11.13
RsdbdAdhd 8yr,ItseaCompe 3yr,-0.134,0.005,0,35994,FS,25.77
RsdbdCondu 8yr,ItseaCompe 3yr,-0.068,0.005,0,36048,FS,13.08
RsdbdHyper 8yr,ItseaCompe 3yr,-0.122,0.005,0,35984,FS,23.46
RsdbdInatt 8yr,ItseaCompe 3yr,-0.117,0.005,0,35993,FS,22.5
RsdbdOdd 8yr,ItseaCompe 3yr,-0.097,0.005,0,35978,FS,18.65
ScaredFull 8yr,ItseaCompe 3yr,-0.056,0.005,0,36006,FS,10.57
ScqRestr 8yr,ItseaCompe 3yr,0.194,0.005,0,35946,FS,38.04
ScqSocia 8yr,ItseaCompe 3yr,-0.055,0.005,0,35973,FS,10.38
SmfqFull 8yr,ItseaCompe 3yr,-0.106,0.005,0,35955,FS,20.38
SpinFull 8yr,ItseaCompe 3yr,-0.068,0.005,0,35175,FS,12.83
SprakSeman 8yr,ItseaCompe 3yr,-0.137,0.007,0,21393,FS,20.45
CapeFullC 14yr,ItseaCompe 3yr,0.002,0.008,0,17394,FS,0.26
PeqParenC 14yr,ItseaCompe 3yr,0.006,0.008,0,17438,FS,0.79
SbSchooC 14yr,ItseaCompe 3yr,0.004,0.008,0,15890,FS,0.51
SclAnxieC 14yr,ItseaCompe 3yr,0.016,0.008,0,15899,FS,2.03
SclDepreC 14yr,ItseaCompe 3yr,0.015,0.008,0,15894,FS,1.9
SdqProsoC 14yr,ItseaCompe 3yr,0.048,0.008,0,15923,FS,6.08
SdqProsoM 14yr,ItseaCompe 3yr,0.092,0.009,0,12946,FS,10.57
SmfqFullC 14yr,ItseaCompe 3yr,0.028,0.008,0,14334,FS,3.37
SmfqFullM 14yr,ItseaCompe 3yr,-0.03,0.009,0,12261,FS,3.33
SpinFullC 14yr,ItseaCompe 3yr,0.007,0.009,0,13977,FS,0.82
SppaSociaC 14yr,ItseaCompe 3yr,0.016,0.008,0,17455,FS,2.11
SwlsFullC 14yr,ItseaCompe 3yr,-0.008,0.008,0,17437,FS,1.05
YptiFullC 14yr,ItseaCompe 3yr,-0.019,0.008,0,17329,FS,2.5
ItseaExter 3yr,ItseaDysre 3yr,0.2,0.004,0,58088,FS,50
ItseaInter 3yr,ItseaDysre 3yr,0.139,0.004,0,58089,FS,33.9
ScqRestr 3yr,ItseaDysre 3yr,-0.099,0.004,0,57933,FS,24.15
ScqSocia 3yr,ItseaDysre 3yr,0.025,0.004,0,57970,FS,5.95
SdqProso 3yr,ItseaDysre 3yr,-0.068,0.004,0,57972,FS,16.59
AsqLangu 5yr,ItseaDysre 3yr,0.053,0.006,0,32927,FS,9.64
AsqMotor 5yr,ItseaDysre 3yr,-0.061,0.006,0,32930,FS,11.09
CastFull 5yr,ItseaDysre 3yr,0.002,0.009,0,12262,FS,0.22
CbclExter 5yr,ItseaDysre 3yr,0.153,0.006,0,31932,FS,27.82
CbclInter 5yr,ItseaDysre 3yr,0.178,0.005,0,31864,FS,32.96
CccCoher 5yr,ItseaDysre 3yr,-0.076,0.005,0,33741,FS,14.07
CprsrsFull 5yr,ItseaDysre 3yr,0.138,0.005,0,33720,FS,26.04
EasActiv 5yr,ItseaDysre 3yr,0.015,0.006,0,31840,FS,2.68
EasEmoti 5yr,ItseaDysre 3yr,-0.117,0.006,0,31845,FS,21.27
EasShyne 5yr,ItseaDysre 3yr,0.052,0.006,0,31832,FS,9.29
EasSocia 5yr,ItseaDysre 3yr,-0.002,0.006,0,31839,FS,0.36
SlasFull 5yr,ItseaDysre 3yr,-0.076,0.011,0,8710,FS,7.1
SprakExpre 5yr,ItseaDysre 3yr,0.049,0.006,0,28390,FS,8.31
SprakRecep 5yr,ItseaDysre 3yr,0.078,0.006,0,28393,FS,13.22
SprakSeman 5yr,ItseaDysre 3yr,0.066,0.006,0,28406,FS,11.19
CccCoher 8yr,ItseaDysre 3yr,0.07,0.006,0,25715,FS,11.29
CebqFull 8yr,ItseaDysre 3yr,0.042,0.005,0,35704,FS,7.92
NhpicBenev 8yr,ItseaDysre 3yr,0.099,0.005,0,35788,FS,19.04
NhpicConsc 8yr,ItseaDysre 3yr,-0.075,0.005,0,35791,FS,14.15
RsdbdAdhd 8yr,ItseaDysre 3yr,0.129,0.005,0,35816,FS,24.81
RsdbdCondu 8yr,ItseaDysre 3yr,0.062,0.005,0,35869,FS,11.7
RsdbdHyper 8yr,ItseaDysre 3yr,0.112,0.005,0,35806,FS,21.54
RsdbdInatt 8yr,ItseaDysre 3yr,0.116,0.005,0,35815,FS,22.31
RsdbdOdd 8yr,ItseaDysre 3yr,0.127,0.005,0,35800,FS,24.42
ScaredFull 8yr,ItseaDysre 3yr,0.127,0.005,0,35827,FS,24.42
ScqRestr 8yr,ItseaDysre 3yr,-0.086,0.005,0,35771,FS,16.54
ScqSocia 8yr,ItseaDysre 3yr,-0.018,0.005,0,35797,FS,3.4
SmfqFull 8yr,ItseaDysre 3yr,0.134,0.005,0,35777,FS,25.77
SpinFull 8yr,ItseaDysre 3yr,0.075,0.005,0,35004,FS,14.15
SprakSeman 8yr,ItseaDysre 3yr,0.061,0.007,0,21309,FS,8.97
CapeFullC 14yr,ItseaDysre 3yr,0.028,0.008,0,17299,FS,3.68
PeqParenC 14yr,ItseaDysre 3yr,-0.016,0.008,3.37e-283,17344,FS,2.11
SbSchooC 14yr,ItseaDysre 3yr,0.012,0.008,2.36e-241,15805,FS,1.5
SclAnxieC 14yr,ItseaDysre 3yr,0.035,0.008,0,15814,FS,4.43
SclDepreC 14yr,ItseaDysre 3yr,0.03,0.008,3.06e-296,15809,FS,3.8
SdqProsoC 14yr,ItseaDysre 3yr,-0.001,0.008,3.15e-229,15837,FS,0.13
SdqProsoM 14yr,ItseaDysre 3yr,-0.044,0.009,0,12883,FS,5
SmfqFullC 14yr,ItseaDysre 3yr,0.03,0.008,3.09e-218,14262,FS,3.57
SmfqFullM 14yr,ItseaDysre 3yr,0.082,0.009,0,12199,FS,9.11
SpinFullC 14yr,ItseaDysre 3yr,0.03,0.009,1.84e-218,13908,FS,3.53
SppaSociaC 14yr,ItseaDysre 3yr,-0.032,0.008,1.11253692925361e-308,17361,FS,4.21
SwlsFullC 14yr,ItseaDysre 3yr,-0.016,0.008,9.25e-285,17343,FS,2.11
YptiFullC 14yr,ItseaDysre 3yr,-0.007,0.008,5.13e-269,17235,FS,0.92
ItseaInter 3yr,ItseaExter 3yr,0.161,0.004,0,58091,FS,40.25
ScqRestr 3yr,ItseaExter 3yr,-0.244,0.004,2.94e-299,57956,FS,62.56
ScqSocia 3yr,ItseaExter 3yr,0.052,0.004,0,57993,FS,12.68
SdqProso 3yr,ItseaExter 3yr,-0.284,0.004,0,57995,FS,74.74
AsqLangu 5yr,ItseaExter 3yr,0.13,0.005,0,32942,FS,24.07
AsqMotor 5yr,ItseaExter 3yr,-0.122,0.005,0,32945,FS,22.59
CastFull 5yr,ItseaExter 3yr,-0.05,0.009,0,12268,FS,5.56
CbclExter 5yr,ItseaExter 3yr,0.457,0.004,1.06e-239,31948,FS,103.86
CbclInter 5yr,ItseaExter 3yr,0.222,0.005,1.1125369642036e-308,31880,FS,41.89
CccCoher 5yr,ItseaExter 3yr,-0.213,0.005,5.89e-244,33756,FS,40.96
CprsrsFull 5yr,ItseaExter 3yr,0.395,0.005,2.13e-273,33735,FS,85.87
EasActiv 5yr,ItseaExter 3yr,0.163,0.006,8.54e-224,31856,FS,29.64
EasEmoti 5yr,ItseaExter 3yr,-0.319,0.005,0,31861,FS,63.8
EasShyne 5yr,ItseaExter 3yr,0.038,0.006,6.58e-202,31848,FS,6.79
EasSocia 5yr,ItseaExter 3yr,-0.003,0.006,0,31855,FS,0.54
SlasFull 5yr,ItseaExter 3yr,-0.126,0.011,0,8711,FS,12
SprakExpre 5yr,ItseaExter 3yr,0.12,0.006,0,28404,FS,20.69
SprakRecep 5yr,ItseaExter 3yr,0.214,0.006,0,28407,FS,37.54
SprakSeman 5yr,ItseaExter 3yr,0.185,0.006,0,28420,FS,32.46
CccCoher 8yr,ItseaExter 3yr,0.205,0.006,5.82e-196,25726,FS,34.17
CebqFull 8yr,ItseaExter 3yr,0.114,0.005,0,35718,FS,21.92
NhpicBenev 8yr,ItseaExter 3yr,0.338,0.005,8.11e-199,35801,FS,71.91
NhpicConsc 8yr,ItseaExter 3yr,-0.237,0.005,7.63e-191,35804,FS,47.4
RsdbdAdhd 8yr,ItseaExter 3yr,0.379,0.005,1.57e-186,35830,FS,84.22
RsdbdCondu 8yr,ItseaExter 3yr,0.322,0.005,0,35883,FS,68.51
RsdbdHyper 8yr,ItseaExter 3yr,0.367,0.005,1.1148569292536e-308,35821,FS,79.78
RsdbdInatt 8yr,ItseaExter 3yr,0.319,0.005,7.91e-226,35829,FS,67.87
RsdbdOdd 8yr,ItseaExter 3yr,0.405,0.004,1.72e-294,35815,FS,92.05
ScaredFull 8yr,ItseaExter 3yr,0.084,0.005,0,35841,FS,16.15
ScqRestr 8yr,ItseaExter 3yr,-0.192,0.005,0,35785,FS,37.65
ScqSocia 8yr,ItseaExter 3yr,-0.008,0.005,1.1125369292687e-308,35811,FS,1.51
SmfqFull 8yr,ItseaExter 3yr,0.285,0.005,0,35790,FS,58.16
SpinFull 8yr,ItseaExter 3yr,0.123,0.005,0,35018,FS,23.21
SprakSeman 8yr,ItseaExter 3yr,0.179,0.007,0,21320,FS,27.12
CapeFullC 14yr,ItseaExter 3yr,0.031,0.008,9.67e-165,17306,FS,4.08
PeqParenC 14yr,ItseaExter 3yr,-0.105,0.008,1.78e-123,17351,FS,14
SbSchooC 14yr,ItseaExter 3yr,0.054,0.008,1.63e-98,15812,FS,6.84
SclAnxieC 14yr,ItseaExter 3yr,0.032,0.008,0,15821,FS,4.05
SclDepreC 14yr,ItseaExter 3yr,0.044,0.008,5.48e-159,15816,FS,5.57
SdqProsoC 14yr,ItseaExter 3yr,-0.096,0.008,8.42e-86,15845,FS,12.15
