"Var1","Var2","r","se","p","n"
"ScqRestr_8yr","AsqMotor_18mo","-0.111","0.0054","0.00e+00","33602"
"ScqSocia_8yr","AsqMotor_18mo","0.038","0.0054","0.00e+00","33627"
"SmfqFull_8yr","AsqMotor_18mo","0.057","0.0051","0.00e+00","38275"
"SpinFull_8yr","AsqMotor_18mo","0.06","0.0052","0.00e+00","37428"
"SprakSeman_8yr","AsqMotor_18mo","0.082","0.0067","0.00e+00","22288"
"CapeFullC_14yr","AsqMotor_18mo","0.011","0.0073","0.00e+00","18738"
"PeqParenC_14yr","AsqMotor_18mo","0.003","0.0073","0.00e+00","18792"
"SbSchooC_14yr","AsqMotor_18mo","-0.001","0.0076","0.00e+00","17159"
"SclAnxieC_14yr","AsqMotor_18mo","0.012","0.0076","0.00e+00","17171"
"SclDepreC_14yr","AsqMotor_18mo","0.009","0.0076","0.00e+00","17165"
"SdqProsoC_14yr","AsqMotor_18mo","-0.03","0.0082","0.00e+00","14867"
"SdqProsoM_14yr","AsqMotor_18mo","-0.059","0.009","0.00e+00","12199"
"SmfqFullC_14yr","AsqMotor_18mo","0.017","0.0082","0.00e+00","14873"
"SmfqFullM_14yr","AsqMotor_18mo","0.059","0.0088","0.00e+00","12712"
"SpinFullC_14yr","AsqMotor_18mo","0.022","0.0083","0.00e+00","14499"
"SppaSociaC_14yr","AsqMotor_18mo","-0.066","0.0073","0.00e+00","18809"
"SwlsFullC_14yr","AsqMotor_18mo","-0.035","0.0073","0.00e+00","18791"
"YptiFullC_14yr","AsqMotor_18mo","-0.008","0.0073","0.00e+00","18673"
"CbclInter_18mo","CbclExter_18mo","0.232","0.0034","0.00e+00","75646"
"EasActiv_18mo","CbclExter_18mo","-0.316","0.0033","0.00e+00","75443"
"EasEmoti_18mo","CbclExter_18mo","-0.352","0.0032","0.00e+00","75452"
"EasShyne_18mo","CbclExter_18mo","0.016","0.0036","4.53e-130","75439"
"EasSocia_18mo","CbclExter_18mo","-0.007","0.0036","0.00e+00","75437"
"AsqLangu_3yr","CbclExter_18mo","0.125","0.0043","0.00e+00","52366"
"AsqMotor_3yr","CbclExter_18mo","0.081","0.0043","0.00e+00","52310"
"CbclExter_3yr","CbclExter_18mo","0.447","0.0035","9.51e-89","53367"
"CbclInter_3yr","CbclExter_18mo","0.246","0.0041","5.86e-252","53230"
"CfqPress_3yr","CbclExter_18mo","0.141","0.0043","0.00e+00","52644"
"CfqRestr_3yr","CbclExter_18mo","0.102","0.0043","4.25e-145","52632"
"EasActiv_3yr","CbclExter_18mo","-0.237","0.0041","2.63e-100","53205"
"EasEmoti_3yr","CbclExter_18mo","-0.255","0.0041","0.00e+00","53214"
"EasShyne_3yr","CbclExter_18mo","0.024","0.0043","1.18e-81","53200"
"EasSocia_3yr","CbclExter_18mo","-0.004","0.0043","2.25e-91","53201"
"ItseaCompe_3yr","CbclExter_18mo","-0.141","0.0042","0.00e+00","53636"
"ItseaDysre_3yr","CbclExter_18mo","0.12","0.0043","0.00e+00","53321"
"ItseaExter_3yr","CbclExter_18mo","0.361","0.0038","6.99e-318","53342"
"ItseaInter_3yr","CbclExter_18mo","0.084","0.0043","0.00e+00","53324"
"ScqRestr_3yr","CbclExter_18mo","-0.195","0.0042","8.05e-109","53494"
"ScqSocia_3yr","CbclExter_18mo","0.076","0.0043","0.00e+00","53532"
"SdqProso_3yr","CbclExter_18mo","-0.183","0.0042","0.00e+00","53533"
"AsqLangu_5yr","CbclExter_18mo","0.117","0.0052","0.00e+00","36487"
"AsqMotor_5yr","CbclExter_18mo","-0.092","0.0052","0.00e+00","36493"
"CastFull_5yr","CbclExter_18mo","-0.04","0.0086","0.00e+00","13503"
"CbclExter_5yr","CbclExter_18mo","0.362","0.0045","1.59e-178","37291"
"CbclInter_5yr","CbclExter_18mo","0.182","0.005","1.14e-257","37209"
"CccCoher_5yr","CbclExter_18mo","-0.203","0.005","1.86e-165","37384"
"CprsrsFull_5yr","CbclExter_18mo","0.342","0.0046","7.75e-196","37351"
"EasActiv_5yr","CbclExter_18mo","0.203","0.005","7.69e-143","37179"
"EasEmoti_5yr","CbclExter_18mo","-0.227","0.0049","0.00e+00","37185"
"EasShyne_5yr","CbclExter_18mo","0.037","0.0052","9.07e-137","37169"
"EasSocia_5yr","CbclExter_18mo","-0.024","0.0052","0.00e+00","37175"
"SlasFull_5yr","CbclExter_18mo","-0.068","0.0101","0.00e+00","9651"
"SprakExpre_5yr","CbclExter_18mo","0.102","0.0056","0.00e+00","31541"
"SprakRecep_5yr","CbclExter_18mo","0.189","0.0054","0.00e+00","31544"
"SprakSeman_5yr","CbclExter_18mo","0.18","0.0054","0.00e+00","31559"
"CccCoher_8yr","CbclExter_18mo","0.19","0.0058","6.28e-136","27464"
"CebqFull_8yr","CbclExter_18mo","0.099","0.005","1.24e-223","39236"
"NhpicBenev_8yr","CbclExter_18mo","0.217","0.0048","3.11e-90","39328"
"NhpicConsc_8yr","CbclExter_18mo","-0.206","0.0048","1.23e-88","39330"
"RsdbdAdhd_8yr","CbclExter_18mo","0.297","0.0046","1.10e-75","39359"
"RsdbdCondu_8yr","CbclExter_18mo","0.155","0.0049","0.00e+00","39417"
"RsdbdHyper_8yr","CbclExter_18mo","0.28","0.0046","3.72e-224","39350"
"RsdbdInatt_8yr","CbclExter_18mo","0.252","0.0047","2.88e-122","39357"
"RsdbdOdd_8yr","CbclExter_18mo","0.227","0.0048","1.09e-192","39344"
"ScaredFull_8yr","CbclExter_18mo","0.064","0.005","0.00e+00","39370"
"ScqRestr_8yr","CbclExter_18mo","-0.139","0.0053","0.00e+00","34298"
"ScqSocia_8yr","CbclExter_18mo","0.04","0.0054","5.23e-193","34323"
"SmfqFull_8yr","CbclExter_18mo","0.186","0.0049","0.00e+00","39314"
"SpinFull_8yr","CbclExter_18mo","0.125","0.005","0.00e+00","38444"
"SprakSeman_8yr","CbclExter_18mo","0.162","0.0065","0.00e+00","22766"
"CapeFullC_14yr","CbclExter_18mo","0.007","0.0072","1.18e-134","19278"
"PeqParenC_14yr","CbclExter_18mo","-0.041","0.0072","1.09e-81","19333"
"SbSchooC_14yr","CbclExter_18mo","0.019","0.0075","1.23e-71","17659"
"SclAnxieC_14yr","CbclExter_18mo","0.009","0.0075","0.00e+00","17671"
"SclDepreC_14yr","CbclExter_18mo","0.004","0.0075","2.73e-131","17666"
"SdqProsoC_14yr","CbclExter_18mo","-0.058","0.0081","4.21e-46","15185"
"SdqProsoM_14yr","CbclExter_18mo","-0.124","0.0088","0.00e+00","12432"
"SmfqFullC_14yr","CbclExter_18mo","0.006","0.0081","1.54e-52","15187"
"SmfqFullM_14yr","CbclExter_18mo","0.086","0.0087","0.00e+00","12969"
"SpinFullC_14yr","CbclExter_18mo","-0.004","0.0082","1.37e-61","14806"
"SppaSociaC_14yr","CbclExter_18mo","-0.001","0.0072","3.85e-124","19352"
"SwlsFullC_14yr","CbclExter_18mo","-0.01","0.0072","2.09e-82","19335"
"YptiFullC_14yr","CbclExter_18mo","0.079","0.0072","8.02e-72","19205"
"EasActiv_18mo","CbclInter_18mo","0.053","0.0036","0.00e+00","75250"
"EasEmoti_18mo","CbclInter_18mo","-0.24","0.0034","0.00e+00","75259"
"EasShyne_18mo","CbclInter_18mo","0.3","0.0033","0.00e+00","75247"
"EasSocia_18mo","CbclInter_18mo","0.178","0.0035","0.00e+00","75245"
"AsqLangu_3yr","CbclInter_18mo","0.093","0.0043","0.00e+00","52241"
"AsqMotor_3yr","CbclInter_18mo","0.06","0.0044","0.00e+00","52186"
"CbclExter_3yr","CbclInter_18mo","0.184","0.0042","0.00e+00","53233"
"CbclInter_3yr","CbclInter_18mo","0.356","0.0038","0.00e+00","53232"
"CfqPress_3yr","CbclInter_18mo","0.159","0.0043","0.00e+00","52512"
"CfqRestr_3yr","CbclInter_18mo","0.061","0.0043","0.00e+00","52502"
"EasActiv_3yr","CbclInter_18mo","0.027","0.0043","0.00e+00","53074"
"EasEmoti_3yr","CbclInter_18mo","-0.169","0.0042","0.00e+00","53083"
"EasShyne_3yr","CbclInter_18mo","0.192","0.0042","0.00e+00","53070"
"EasSocia_3yr","CbclInter_18mo","0.122","0.0043","0.00e+00","53071"
"ItseaCompe_3yr","CbclInter_18mo","-0.118","0.0043","0.00e+00","53503"
"ItseaDysre_3yr","CbclInter_18mo","0.145","0.0042","0.00e+00","53189"
"ItseaExter_3yr","CbclInter_18mo","0.129","0.0043","0.00e+00","53210"
"ItseaInter_3yr","CbclInter_18mo","0.167","0.0042","0.00e+00","53191"
"ScqRestr_3yr","CbclInter_18mo","-0.161","0.0042","0.00e+00","53363"
"ScqSocia_3yr","CbclInter_18mo","0.066","0.0043","0.00e+00","53400"
"SdqProso_3yr","CbclInter_18mo","-0.09","0.0043","0.00e+00","53399"
"AsqLangu_5yr","CbclInter_18mo","0.073","0.0052","0.00e+00","36409"
"AsqMotor_5yr","CbclInter_18mo","-0.072","0.0052","0.00e+00","36416"
"CastFull_5yr","CbclInter_18mo","-0.013","0.0086","0.00e+00","13476"
"CbclExter_5yr","CbclInter_18mo","0.151","0.0051","0.00e+00","37211"
"CbclInter_5yr","CbclInter_18mo","0.268","0.0048","0.00e+00","37209"
"CccCoher_5yr","CbclInter_18mo","-0.107","0.0051","0.00e+00","37304"
"CprsrsFull_5yr","CbclInter_18mo","0.124","0.0051","0.00e+00","37270"
"EasActiv_5yr","CbclInter_18mo","-0.006","0.0052","0.00e+00","37099"
"EasEmoti_5yr","CbclInter_18mo","-0.142","0.0051","0.00e+00","37104"
"EasShyne_5yr","CbclInter_18mo","0.17","0.005","0.00e+00","37089"
"EasSocia_5yr","CbclInter_18mo","0.078","0.0052","0.00e+00","37095"
"SlasFull_5yr","CbclInter_18mo","-0.06","0.0102","0.00e+00","9629"
"SprakExpre_5yr","CbclInter_18mo","0.092","0.0056","0.00e+00","31476"
"SprakRecep_5yr","CbclInter_18mo","0.099","0.0056","0.00e+00","31479"
"SprakSeman_5yr","CbclInter_18mo","0.116","0.0056","0.00e+00","31493"
"CccCoher_8yr","CbclInter_18mo","0.121","0.006","0.00e+00","27413"
"CebqFull_8yr","CbclInter_18mo","0.078","0.005","0.00e+00","39151"
"NhpicBenev_8yr","CbclInter_18mo","0.099","0.005","0.00e+00","39244"
"NhpicConsc_8yr","CbclInter_18mo","-0.06","0.005","0.00e+00","39246"
"RsdbdAdhd_8yr","CbclInter_18mo","0.101","0.005","0.00e+00","39274"
"RsdbdCondu_8yr","CbclInter_18mo","0.033","0.005","0.00e+00","39333"
"RsdbdHyper_8yr","CbclInter_18mo","0.086","0.005","0.00e+00","39265"
"RsdbdInatt_8yr","CbclInter_18mo","0.095","0.005","0.00e+00","39272"
"RsdbdOdd_8yr","CbclInter_18mo","0.093","0.005","0.00e+00","39259"
"ScaredFull_8yr","CbclInter_18mo","0.127","0.005","0.00e+00","39286"
"ScqRestr_8yr","CbclInter_18mo","-0.131","0.0053","0.00e+00","34223"
"ScqSocia_8yr","CbclInter_18mo","0.039","0.0054","0.00e+00","34247"
"SmfqFull_8yr","CbclInter_18mo","0.115","0.005","0.00e+00","39229"
"SpinFull_8yr","CbclInter_18mo","0.122","0.005","0.00e+00","38361"
"SprakSeman_8yr","CbclInter_18mo","0.115","0.0065","0.00e+00","22729"
"CapeFullC_14yr","CbclInter_18mo","0.03","0.0072","0.00e+00","19231"
"PeqParenC_14yr","CbclInter_18mo","-0.019","0.0072","0.00e+00","19286"
"SbSchooC_14yr","CbclInter_18mo","0.019","0.0075","0.00e+00","17618"
"SclAnxieC_14yr","CbclInter_18mo","0.036","0.0075","0.00e+00","17630"
"SclDepreC_14yr","CbclInter_18mo","0.024","0.0075","0.00e+00","17625"
"SdqProsoC_14yr","CbclInter_18mo","-0.026","0.0081","0.00e+00","15150"
"SdqProsoM_14yr","CbclInter_18mo","-0.076","0.0089","0.00e+00","12409"
"SmfqFullC_14yr","CbclInter_18mo","0.016","0.0081","0.00e+00","15153"
"SmfqFullM_14yr","CbclInter_18mo","0.076","0.0087","0.00e+00","12945"
"SpinFullC_14yr","CbclInter_18mo","0.03","0.0082","0.00e+00","14774"
"SppaSociaC_14yr","CbclInter_18mo","-0.037","0.0072","0.00e+00","19305"
"SwlsFullC_14yr","CbclInter_18mo","-0.03","0.0072","0.00e+00","19288"
"YptiFullC_14yr","CbclInter_18mo","0.012","0.0072","0.00e+00","19158"
"EasEmoti_18mo","EasActiv_18mo","0.085","0.0036","0.00e+00","75479"
"EasShyne_18mo","EasActiv_18mo","0.318","0.0033","0.00e+00","75457"
"EasSocia_18mo","EasActiv_18mo","0.3","0.0033","0.00e+00","75460"
"AsqLangu_3yr","EasActiv_18mo","0.028","0.0044","0.00e+00","52111"
"AsqMotor_3yr","EasActiv_18mo","0.073","0.0044","0.00e+00","52055"
"CbclExter_3yr","EasActiv_18mo","-0.181","0.0042","0.00e+00","53093"
"CbclInter_3yr","EasActiv_18mo","0.009","0.0043","0.00e+00","52958"
"CfqPress_3yr","EasActiv_18mo","-0.028","0.0044","0.00e+00","52388"
"CfqRestr_3yr","EasActiv_18mo","0.013","0.0044","0.00e+00","52375"
"EasActiv_3yr","EasActiv_18mo","0.525","0.0031","0.00e+00","53220"
"EasEmoti_3yr","EasActiv_18mo","0.055","0.0043","0.00e+00","53221"
"EasShyne_3yr","EasActiv_18mo","0.22","0.0041","0.00e+00","53202"
"EasSocia_3yr","EasActiv_18mo","0.188","0.0042","0.00e+00","53206"
"ItseaCompe_3yr","EasActiv_18mo","-0.009","0.0043","0.00e+00","53374"
"ItseaDysre_3yr","EasActiv_18mo","-0.015","0.0043","0.00e+00","53060"
"ItseaExter_3yr","EasActiv_18mo","-0.135","0.0043","0.00e+00","53081"
"ItseaInter_3yr","EasActiv_18mo","0.051","0.0043","0.00e+00","53063"
"ScqRestr_3yr","EasActiv_18mo","0.076","0.0043","0.00e+00","53234"
"ScqSocia_3yr","EasActiv_18mo","0.05","0.0043","0.00e+00","53273"
"SdqProso_3yr","EasActiv_18mo","-0.029","0.0043","0.00e+00","53272"
"AsqLangu_5yr","EasActiv_18mo","0.033","0.0052","0.00e+00","36306"
"AsqMotor_5yr","EasActiv_18mo","-0.048","0.0052","0.00e+00","36310"
"CastFull_5yr","EasActiv_18mo","-0.001","0.0086","0.00e+00","13384"
"CbclExter_5yr","EasActiv_18mo","-0.133","0.0051","0.00e+00","37102"
"CbclInter_5yr","EasActiv_18mo","0.032","0.0052","0.00e+00","37021"
"CccCoher_5yr","EasActiv_18mo","-0.035","0.0052","0.00e+00","37202"
"CprsrsFull_5yr","EasActiv_18mo","-0.093","0.0051","0.00e+00","37168"
"EasActiv_5yr","EasActiv_18mo","-0.401","0.0044","0.00e+00","37185"
"EasEmoti_5yr","EasActiv_18mo","0.013","0.0052","0.00e+00","37184"
"EasShyne_5yr","EasActiv_18mo","0.148","0.0051","0.00e+00","37167"
"EasSocia_5yr","EasActiv_18mo","0.189","0.005","0.00e+00","37174"
"SlasFull_5yr","EasActiv_18mo","-0.066","0.0102","0.00e+00","9601"
"SprakExpre_5yr","EasActiv_18mo","0.045","0.0056","0.00e+00","31394"
"SprakRecep_5yr","EasActiv_18mo","0.015","0.0056","0.00e+00","31397"
"SprakSeman_5yr","EasActiv_18mo","0.031","0.0056","0.00e+00","31411"
"CccCoher_8yr","EasActiv_18mo","0.01","0.006","0.00e+00","27335"
"CebqFull_8yr","EasActiv_18mo","0.044","0.0051","0.00e+00","39016"
"NhpicBenev_8yr","EasActiv_18mo","-0.053","0.005","0.00e+00","39107"
"NhpicConsc_8yr","EasActiv_18mo","0.006","0.0051","0.00e+00","39109"
"RsdbdAdhd_8yr","EasActiv_18mo","-0.111","0.005","0.00e+00","39138"
"RsdbdCondu_8yr","EasActiv_18mo","-0.038","0.005","0.00e+00","39196"
"RsdbdHyper_8yr","EasActiv_18mo","-0.155","0.0049","0.00e+00","39129"
"RsdbdInatt_8yr","EasActiv_18mo","-0.06","0.005","0.00e+00","39136"
"RsdbdOdd_8yr","EasActiv_18mo","-0.053","0.005","0.00e+00","39123"
"ScaredFull_8yr","EasActiv_18mo","0.029","0.005","0.00e+00","39149"
"ScqRestr_8yr","EasActiv_18mo","0.008","0.0054","0.00e+00","34117"
"ScqSocia_8yr","EasActiv_18mo","-0.005","0.0054","0.00e+00","34142"
"SmfqFull_8yr","EasActiv_18mo","-0.037","0.0051","0.00e+00","39095"
"SpinFull_8yr","EasActiv_18mo","0.019","0.0051","0.00e+00","38227"
"SprakSeman_8yr","EasActiv_18mo","0.043","0.0066","0.00e+00","22666"
"CapeFullC_14yr","EasActiv_18mo","0.031","0.0072","1.17e-269","19160"
"PeqParenC_14yr","EasActiv_18mo","-0.008","0.0072","2.62e-221","19214"
"SbSchooC_14yr","EasActiv_18mo","-0.005","0.0075","4.67e-191","17553"
"SclAnxieC_14yr","EasActiv_18mo","0.029","0.0075","0.00e+00","17566"
"SclDepreC_14yr","EasActiv_18mo","0.034","0.0075","4.21e-253","17561"
"SdqProsoC_14yr","EasActiv_18mo","0.017","0.0081","9.72e-149","15098"
"SdqProsoM_14yr","EasActiv_18mo","-0.027","0.009","0.00e+00","12371"
"SmfqFullC_14yr","EasActiv_18mo","0.033","0.0081","4.46e-158","15100"
"SmfqFullM_14yr","EasActiv_18mo","0.003","0.0088","0.00e+00","12899"
"SpinFullC_14yr","EasActiv_18mo","0.04","0.0082","4.69e-160","14720"
"SppaSociaC_14yr","EasActiv_18mo","-0.054","0.0072","1.50e-261","19233"
"SwlsFullC_14yr","EasActiv_18mo","-0.033","0.0072","3.26e-226","19216"
"YptiFullC_14yr","EasActiv_18mo","-0.029","0.0072","1.23e-204","19088"
"EasShyne_18mo","EasEmoti_18mo","-0.238","0.0034","0.00e+00","75467"
"EasSocia_18mo","EasEmoti_18mo","-0.072","0.0036","0.00e+00","75468"
"AsqLangu_3yr","EasEmoti_18mo","-0.058","0.0044","0.00e+00","52117"
"AsqMotor_3yr","EasEmoti_18mo","-0.056","0.0044","0.00e+00","52061"
"CbclExter_3yr","EasEmoti_18mo","-0.294","0.004","0.00e+00","53100"
"CbclInter_3yr","EasEmoti_18mo","-0.231","0.0041","0.00e+00","52965"
"CfqPress_3yr","EasEmoti_18mo","-0.074","0.0043","0.00e+00","52395"
"CfqRestr_3yr","EasEmoti_18mo","-0.065","0.0044","0.00e+00","52382"
"EasActiv_3yr","EasEmoti_18mo","0.047","0.0043","0.00e+00","53219"
"EasEmoti_3yr","EasEmoti_18mo","0.422","0.0036","0.00e+00","53229"
"EasShyne_3yr","EasEmoti_18mo","-0.139","0.0043","0.00e+00","53210"
"EasSocia_3yr","EasEmoti_18mo","-0.062","0.0043","0.00e+00","53213"
"ItseaCompe_3yr","EasEmoti_18mo","0.075","0.0043","0.00e+00","53381"
"ItseaDysre_3yr","EasEmoti_18mo","-0.083","0.0043","0.00e+00","53067"
"ItseaExter_3yr","EasEmoti_18mo","-0.227","0.0041","0.00e+00","53088"
"ItseaInter_3yr","EasEmoti_18mo","-0.087","0.0043","0.00e+00","53070"
"ScqRestr_3yr","EasEmoti_18mo","0.1","0.0043","0.00e+00","53241"
"ScqSocia_3yr","EasEmoti_18mo","-0.038","0.0043","0.00e+00","53280"
"SdqProso_3yr","EasEmoti_18mo","0.132","0.0043","0.00e+00","53279"
"AsqLangu_5yr","EasEmoti_18mo","-0.053","0.0052","0.00e+00","36313"
"AsqMotor_5yr","EasEmoti_18mo","0.04","0.0052","0.00e+00","36317"
"CastFull_5yr","EasEmoti_18mo","-0.005","0.0086","0.00e+00","13387"
"CbclExter_5yr","EasEmoti_18mo","-0.211","0.005","0.00e+00","37109"
"CbclInter_5yr","EasEmoti_18mo","-0.17","0.005","0.00e+00","37027"
"CccCoher_5yr","EasEmoti_18mo","0.106","0.0051","0.00e+00","37209"
"CprsrsFull_5yr","EasEmoti_18mo","-0.162","0.0051","0.00e+00","37175"
"EasActiv_5yr","EasEmoti_18mo","-0.048","0.0052","0.00e+00","37185"
"EasEmoti_5yr","EasEmoti_18mo","0.321","0.0046","0.00e+00","37191"
"EasShyne_5yr","EasEmoti_18mo","-0.113","0.0051","0.00e+00","37174"
"EasSocia_5yr","EasEmoti_18mo","-0.032","0.0052","0.00e+00","37180"
"SlasFull_5yr","EasEmoti_18mo","0.001","0.0102","0.00e+00","9603"
"SprakExpre_5yr","EasEmoti_18mo","-0.071","0.0056","0.00e+00","31400"
"SprakRecep_5yr","EasEmoti_18mo","-0.111","0.0056","0.00e+00","31403"
"SprakSeman_5yr","EasEmoti_18mo","-0.11","0.0056","0.00e+00","31417"
"CccCoher_8yr","EasEmoti_18mo","-0.099","0.006","0.00e+00","27336"
"CebqFull_8yr","EasEmoti_18mo","-0.073","0.005","0.00e+00","39017"
"NhpicBenev_8yr","EasEmoti_18mo","-0.183","0.0049","0.00e+00","39108"
"NhpicConsc_8yr","EasEmoti_18mo","0.108","0.005","0.00e+00","39110"
"RsdbdAdhd_8yr","EasEmoti_18mo","-0.141","0.005","0.00e+00","39139"
"RsdbdCondu_8yr","EasEmoti_18mo","-0.081","0.005","0.00e+00","39197"
"RsdbdHyper_8yr","EasEmoti_18mo","-0.123","0.005","0.00e+00","39130"
"RsdbdInatt_8yr","EasEmoti_18mo","-0.122","0.005","0.00e+00","39137"
"RsdbdOdd_8yr","EasEmoti_18mo","-0.184","0.0049","0.00e+00","39124"
"ScaredFull_8yr","EasEmoti_18mo","-0.073","0.005","0.00e+00","39150"
"ScqRestr_8yr","EasEmoti_18mo","0.075","0.0054","0.00e+00","34118"
"ScqSocia_8yr","EasEmoti_18mo","-0.011","0.0054","0.00e+00","34143"
"SmfqFull_8yr","EasEmoti_18mo","-0.124","0.005","0.00e+00","39096"
"SpinFull_8yr","EasEmoti_18mo","-0.101","0.0051","0.00e+00","38228"
"SprakSeman_8yr","EasEmoti_18mo","-0.098","0.0066","0.00e+00","22666"
"CapeFullC_14yr","EasEmoti_18mo","-0.017","0.0072","0.00e+00","19161"
"PeqParenC_14yr","EasEmoti_18mo","0.03","0.0072","0.00e+00","19215"
"SbSchooC_14yr","EasEmoti_18mo","-0.023","0.0075","0.00e+00","17554"
"SclAnxieC_14yr","EasEmoti_18mo","-0.023","0.0075","0.00e+00","17567"
"SclDepreC_14yr","EasEmoti_18mo","-0.02","0.0075","0.00e+00","17562"
"SdqProsoC_14yr","EasEmoti_18mo","0.032","0.0081","5.77e-268","15098"
"SdqProsoM_14yr","EasEmoti_18mo","0.098","0.0089","0.00e+00","12372"
"SmfqFullC_14yr","EasEmoti_18mo","-0.025","0.0081","2.28e-280","15100"
"SmfqFullM_14yr","EasEmoti_18mo","-0.069","0.0088","0.00e+00","12899"
"SpinFullC_14yr","EasEmoti_18mo","-0.01","0.0082","3.74e-281","14720"
"SppaSociaC_14yr","EasEmoti_18mo","0.021","0.0072","0.00e+00","19234"
"SwlsFullC_14yr","EasEmoti_18mo","0.024","0.0072","0.00e+00","19217"
"YptiFullC_14yr","EasEmoti_18mo","-0.046","0.0072","0.00e+00","19089"
"EasSocia_18mo","EasShyne_18mo","0.777","0.0014","0.00e+00","75462"
"AsqLangu_3yr","EasShyne_18mo","0.067","0.0044","0.00e+00","52103"
"AsqMotor_3yr","EasShyne_18mo","0.059","0.0044","0.00e+00","52047"
"CbclExter_3yr","EasShyne_18mo","0.024","0.0043","4.22e-24","53092"
"CbclInter_3yr","EasShyne_18mo","0.173","0.0042","4.85e-219","52957"
"CfqPress_3yr","EasShyne_18mo","0.035","0.0044","0.00e+00","52385"
"CfqRestr_3yr","EasShyne_18mo","0.034","0.0044","2.26e-81","52373"
"EasActiv_3yr","EasShyne_18mo","0.191","0.0042","7.32e-46","53204"
"EasEmoti_3yr","EasShyne_18mo","-0.119","0.0043","0.00e+00","53214"
"EasShyne_3yr","EasShyne_18mo","0.489","0.0033","2.54e-46","53211"
"EasSocia_3yr","EasShyne_18mo","0.399","0.0036","6.49e-62","53208"
"ItseaCompe_3yr","EasShyne_18mo","-0.051","0.0043","0.00e+00","53369"
"ItseaDysre_3yr","EasShyne_18mo","0.037","0.0043","0.00e+00","53056"
"ItseaExter_3yr","EasShyne_18mo","-0.01","0.0043","7.33e-258","53077"
"ItseaInter_3yr","EasShyne_18mo","0.069","0.0043","0.00e+00","53058"
"ScqRestr_3yr","EasShyne_18mo","-0.011","0.0043","2.89e-54","53227"
"ScqSocia_3yr","EasShyne_18mo","0.086","0.0043","0.00e+00","53266"
"SdqProso_3yr","EasShyne_18mo","-0.118","0.0043","0.00e+00","53265"
"AsqLangu_5yr","EasShyne_18mo","0.066","0.0052","0.00e+00","36305"
"AsqMotor_5yr","EasShyne_18mo","-0.034","0.0052","0.00e+00","36309"
"CastFull_5yr","EasShyne_18mo","-0.028","0.0086","0.00e+00","13383"
"CbclExter_5yr","EasShyne_18mo","0.007","0.0052","2.94e-120","37101"
"CbclInter_5yr","EasShyne_18mo","0.147","0.0051","7.78e-209","37020"
"CccCoher_5yr","EasShyne_18mo","-0.094","0.0051","1.80e-98","37201"
"CprsrsFull_5yr","EasShyne_18mo","0.004","0.0052","8.40e-147","37167"
"EasActiv_5yr","EasShyne_18mo","-0.137","0.0051","6.25e-95","37176"
"EasEmoti_5yr","EasShyne_18mo","-0.086","0.0051","0.00e+00","37182"
"EasShyne_5yr","EasShyne_18mo","0.393","0.0044","8.05e-81","37175"
"EasSocia_5yr","EasShyne_18mo","0.283","0.0048","0.00e+00","37178"
"SlasFull_5yr","EasShyne_18mo","-0.024","0.0102","0.00e+00","9599"
"SprakExpre_5yr","EasShyne_18mo","0.108","0.0056","0.00e+00","31394"
"SprakRecep_5yr","EasShyne_18mo","0.076","0.0056","0.00e+00","31397"
"SprakSeman_5yr","EasShyne_18mo","0.097","0.0056","0.00e+00","31411"
"CccCoher_8yr","EasShyne_18mo","0.075","0.006","6.61e-76","27332"
"CebqFull_8yr","EasShyne_18mo","0.087","0.005","3.11e-171","39010"
"NhpicBenev_8yr","EasShyne_18mo","0.042","0.005","1.80e-40","39102"
"NhpicConsc_8yr","EasShyne_18mo","-0.04","0.005","1.08e-38","39104"
"RsdbdAdhd_8yr","EasShyne_18mo","-0.035","0.005","1.22e-19","39133"
"RsdbdCondu_8yr","EasShyne_18mo","-0.006","0.0051","0.00e+00","39190"
"RsdbdHyper_8yr","EasShyne_18mo","-0.052","0.005","3.87e-174","39124"
"RsdbdInatt_8yr","EasShyne_18mo","-0.016","0.0051","1.37e-77","39131"
"RsdbdOdd_8yr","EasShyne_18mo","0.015","0.0051","7.70e-142","39118"
"ScaredFull_8yr","EasShyne_18mo","0.091","0.005","0.00e+00","39144"
"ScqRestr_8yr","EasShyne_18mo","-0.034","0.0054","0.00e+00","34113"
"ScqSocia_8yr","EasShyne_18mo","0.021","0.0054","1.49e-139","34138"
"SmfqFull_8yr","EasShyne_18mo","0.022","0.0051","0.00e+00","39089"
"SpinFull_8yr","EasShyne_18mo","0.101","0.0051","0.00e+00","38222"
"SprakSeman_8yr","EasShyne_18mo","0.095","0.0066","0.00e+00","22662"
"CapeFullC_14yr","EasShyne_18mo","0.007","0.0072","1.02e-93","19158"
"PeqParenC_14yr","EasShyne_18mo","-0.003","0.0072","4.47e-43","19212"
"SbSchooC_14yr","EasShyne_18mo","0.001","0.0075","3.48e-29","17551"
"SclAnxieC_14yr","EasShyne_18mo","0.022","0.0075","1.44e-279","17564"
"SclDepreC_14yr","EasShyne_18mo","0.01","0.0075","5.56e-87","17559"
"SdqProsoC_14yr","EasShyne_18mo","-0.027","0.0081","3.40e-11","15096"
"SdqProsoM_14yr","EasShyne_18mo","-0.094","0.0089","0.00e+00","12370"
"SmfqFullC_14yr","EasShyne_18mo","0","0.0081","8.67e-18","15099"
