"Var1","Var2","r","se","p"
"YptiFullC_14yr","AsqLangu_6mo","0.002","0.007","0.00e+00"
"IcqFussi_6mo","AsqMotor_6mo","0.035","0.0034","0.00e+00"
"AsqLangu_18mo","AsqMotor_6mo","0.205","0.0036","0.00e+00"
"AsqMotor_18mo","AsqMotor_6mo","0.345","0.0033","0.00e+00"
"CbclExter_18mo","AsqMotor_6mo","0.003","0.0037","0.00e+00"
"CbclInter_18mo","AsqMotor_6mo","0.042","0.0037","0.00e+00"
"EasActiv_18mo","AsqMotor_6mo","0.052","0.0037","0.00e+00"
"EasEmoti_18mo","AsqMotor_6mo","0.016","0.0037","0.00e+00"
"EasShyne_18mo","AsqMotor_6mo","0.032","0.0037","0.00e+00"
"EasSocia_18mo","AsqMotor_6mo","0.039","0.0037","0.00e+00"
"AsqLangu_3yr","AsqMotor_6mo","0.171","0.0041","0.00e+00"
"AsqMotor_3yr","AsqMotor_6mo","0.157","0.0041","0.00e+00"
"CbclExter_3yr","AsqMotor_6mo","0.01","0.0044","0.00e+00"
"CbclInter_3yr","AsqMotor_6mo","0.041","0.0044","0.00e+00"
"CfqPress_3yr","AsqMotor_6mo","0.024","0.0042","0.00e+00"
"CfqRestr_3yr","AsqMotor_6mo","0.001","0.0043","0.00e+00"
"EasActiv_3yr","AsqMotor_6mo","0.014","0.0044","0.00e+00"
"EasEmoti_3yr","AsqMotor_6mo","0.012","0.0044","0.00e+00"
"EasShyne_3yr","AsqMotor_6mo","0.018","0.0044","0.00e+00"
"EasSocia_3yr","AsqMotor_6mo","0.019","0.0044","0.00e+00"
"ItseaCompe_3yr","AsqMotor_6mo","0.05","0.0042","0.00e+00"
"ItseaDysre_3yr","AsqMotor_6mo","0.024","0.0042","0.00e+00"
"ItseaExter_3yr","AsqMotor_6mo","0.019","0.0042","0.00e+00"
"ItseaInter_3yr","AsqMotor_6mo","0.039","0.0042","0.00e+00"
"ScqRestr_3yr","AsqMotor_6mo","0","0.0042","0.00e+00"
"ScqSocia_3yr","AsqMotor_6mo","0.135","0.0041","0.00e+00"
"SdqProso_3yr","AsqMotor_6mo","0.077","0.0042","0.00e+00"
"AsqLangu_5yr","AsqMotor_6mo","0.142","0.0049","0.00e+00"
"AsqMotor_5yr","AsqMotor_6mo","0.18","0.0049","0.00e+00"
"CastFull_5yr","AsqMotor_6mo","0.091","0.0083","0.00e+00"
