"Var1","Var2","r","se","p"
"CbclExter_3yr","CbclExter_18mo","0.184","0.0042","0.00e+00"
"CbclInter_3yr","CbclExter_18mo","0.085","0.0043","0.00e+00"
"CfqPress_3yr","CbclExter_18mo","0.024","0.0044","0.00e+00"
"CfqRestr_3yr","CbclExter_18mo","0.007","0.0044","0.00e+00"
"EasActiv_3yr","CbclExter_18mo","0.059","0.0043","0.00e+00"
"EasEmoti_3yr","CbclExter_18mo","0.071","0.0043","0.00e+00"
"EasShyne_3yr","CbclExter_18mo","0.012","0.0043","0.00e+00"
"EasSocia_3yr","CbclExter_18mo","0.018","0.0043","0.00e+00"
"ItseaCompe_3yr","CbclExter_18mo","0.047","0.0043","0.00e+00"
"ItseaDysre_3yr","CbclExter_18mo","0.039","0.0043","0.00e+00"
"ItseaExter_3yr","CbclExter_18mo","0.142","0.0042","0.00e+00"
"ItseaInter_3yr","CbclExter_18mo","0.028","0.0043","0.00e+00"
"ScqRestr_3yr","CbclExter_18mo","0.039","0.0043","0.00e+00"
"ScqSocia_3yr","CbclExter_18mo","0.047","0.0043","0.00e+00"
"SdqProso_3yr","CbclExter_18mo","0.042","0.0043","0.00e+00"
"AsqLangu_5yr","CbclExter_18mo","0.035","0.0052","0.00e+00"
"AsqMotor_5yr","CbclExter_18mo","0.029","0.0052","0.00e+00"
"CastFull_5yr","CbclExter_18mo","0.041","0.0086","0.00e+00"
"CbclExter_5yr","CbclExter_18mo","0.125","0.0051","0.00e+00"
"CbclInter_5yr","CbclExter_18mo","0.068","0.0052","0.00e+00"
"CccCoher_5yr","CbclExter_18mo","0.057","0.0052","3.68e-264"
"CprsrsFull_5yr","CbclExter_18mo","0.121","0.0051","0.00e+00"
"EasActiv_5yr","CbclExter_18mo","0.054","0.0052","0.00e+00"
"EasEmoti_5yr","CbclExter_18mo","0.063","0.0052","0.00e+00"
"EasShyne_5yr","CbclExter_18mo","0.018","0.0052","0.00e+00"
"EasSocia_5yr","CbclExter_18mo","0.03","0.0052","4.32e-196"
"SlasFull_5yr","CbclExter_18mo","0.038","0.0102","0.00e+00"
"SprakExpre_5yr","CbclExter_18mo","0.021","0.0056","0.00e+00"
"SprakRecep_5yr","CbclExter_18mo","0.038","0.0056","0.00e+00"
"SprakSeman_5yr","CbclExter_18mo","0.031","0.0056","0.00e+00"
"CccCoher_8yr","CbclExter_18mo","0.058","0.006","0.00e+00"
"CebqFull_8yr","CbclExter_18mo","0.02","0.005","0.00e+00"
"NhpicBenev_8yr","CbclExter_18mo","0.063","0.005","0.00e+00"
"NhpicConsc_8yr","CbclExter_18mo","0.053","0.005","0.00e+00"
"RsdbdAdhd_8yr","CbclExter_18mo","0.091","0.005","0.00e+00"
"RsdbdCondu_8yr","CbclExter_18mo","0.045","0.005","0.00e+00"
"RsdbdHyper_8yr","CbclExter_18mo","0.109","0.005","0.00e+00"
"RsdbdInatt_8yr","CbclExter_18mo","0.08","0.005","1.03e-311"
"RsdbdOdd_8yr","CbclExter_18mo","0.074","0.005","0.00e+00"
"ScaredFull_8yr","CbclExter_18mo","0.025","0.005","0.00e+00"
"ScqRestr_8yr","CbclExter_18mo","0.048","0.0054","0.00e+00"
"ScqSocia_8yr","CbclExter_18mo","0.013","0.0054","0.00e+00"
"SmfqFull_8yr","CbclExter_18mo","0.051","0.005","0.00e+00"
"SpinFull_8yr","CbclExter_18mo","0.048","0.0051","0.00e+00"
"SprakSeman_8yr","CbclExter_18mo","0.031","0.0066","0.00e+00"
"CapeFullC_14yr","CbclExter_18mo","0","0.0072","1.06e-192"
"PeqParenC_14yr","CbclExter_18mo","0.008","0.0072","2.92e-160"
"SbSchooC_14yr","CbclExter_18mo","0.012","0.0075","2.44e-195"
"SclAnxieC_14yr","CbclExter_18mo","0.002","0.0075","0.00e+00"
"SclDepreC_14yr","CbclExter_18mo","-0.001","0.0075","0.00e+00"
"SdqProsoC_14yr","CbclExter_18mo","0.001","0.0081","1.95e-278"
"SdqProsoM_14yr","CbclExter_18mo","0.024","0.009","0.00e+00"
"SmfqFullC_14yr","CbclExter_18mo","0.008","0.0081","1.08e-142"
"SmfqFullM_14yr","CbclExter_18mo","0.023","0.0088","0.00e+00"
"SpinFullC_14yr","CbclExter_18mo","-0.003","0.0082","0.00e+00"
"SppaSociaC_14yr","CbclExter_18mo","0","0.0072","1.79e-110"
"SwlsFullC_14yr","CbclExter_18mo","-0.01","0.0072","1.14e-284"
"YptiFullC_14yr","CbclExter_18mo","0.01","0.0072","4.61e-224"
"EasActiv_18mo","CbclInter_18mo","0.024","0.0036","0.00e+00"
"EasEmoti_18mo","CbclInter_18mo","0.052","0.0036","0.00e+00"
"EasShyne_18mo","CbclInter_18mo","0.112","0.0036","0.00e+00"
"EasSocia_18mo","CbclInter_18mo","0.111","0.0036","0.00e+00"
"AsqLangu_3yr","CbclInter_18mo","0.055","0.0044","0.00e+00"
"AsqMotor_3yr","CbclInter_18mo","0.03","0.0044","0.00e+00"
"CbclExter_3yr","CbclInter_18mo","0.041","0.0043","0.00e+00"
"CbclInter_3yr","CbclInter_18mo","0.209","0.0041","0.00e+00"
"CfqPress_3yr","CbclInter_18mo","0.041","0.0044","0.00e+00"
"CfqRestr_3yr","CbclInter_18mo","0.003","0.0044","0.00e+00"
"EasActiv_3yr","CbclInter_18mo","0.012","0.0043","0.00e+00"
"EasEmoti_3yr","CbclInter_18mo","0.022","0.0043","0.00e+00"
"EasShyne_3yr","CbclInter_18mo","0.057","0.0043","0.00e+00"
"EasSocia_3yr","CbclInter_18mo","0.041","0.0043","0.00e+00"
"ItseaCompe_3yr","CbclInter_18mo","0.082","0.0043","0.00e+00"
"ItseaDysre_3yr","CbclInter_18mo","0.087","0.0043","0.00e+00"
"ItseaExter_3yr","CbclInter_18mo","0.04","0.0043","0.00e+00"
"ItseaInter_3yr","CbclInter_18mo","0.103","0.0043","0.00e+00"
"ScqRestr_3yr","CbclInter_18mo","0.051","0.0043","0.00e+00"
"ScqSocia_3yr","CbclInter_18mo","0.062","0.0043","0.00e+00"
"SdqProso_3yr","CbclInter_18mo","0.033","0.0043","0.00e+00"
"AsqLangu_5yr","CbclInter_18mo","0.04","0.0052","0.00e+00"
"AsqMotor_5yr","CbclInter_18mo","0.042","0.0052","0.00e+00"
"CastFull_5yr","CbclInter_18mo","0.077","0.0086","0.00e+00"
"CbclExter_5yr","CbclInter_18mo","0.035","0.0052","0.00e+00"
"CbclInter_5yr","CbclInter_18mo","0.146","0.0051","0.00e+00"
"CccCoher_5yr","CbclInter_18mo","0.034","0.0052","0.00e+00"
"CprsrsFull_5yr","CbclInter_18mo","0.026","0.0052","0.00e+00"
"EasActiv_5yr","CbclInter_18mo","0.012","0.0052","0.00e+00"
"EasEmoti_5yr","CbclInter_18mo","0.035","0.0052","0.00e+00"
"EasShyne_5yr","CbclInter_18mo","0.056","0.0052","0.00e+00"
"EasSocia_5yr","CbclInter_18mo","0.045","0.0052","0.00e+00"
"SlasFull_5yr","CbclInter_18mo","0.059","0.0102","0.00e+00"
"SprakExpre_5yr","CbclInter_18mo","0.035","0.0056","0.00e+00"
"SprakRecep_5yr","CbclInter_18mo","0.025","0.0056","0.00e+00"
"SprakSeman_5yr","CbclInter_18mo","0.039","0.0056","0.00e+00"
"CccCoher_8yr","CbclInter_18mo","0.055","0.006","0.00e+00"
"CebqFull_8yr","CbclInter_18mo","0.021","0.0051","0.00e+00"
"NhpicBenev_8yr","CbclInter_18mo","0.027","0.005","0.00e+00"
"NhpicConsc_8yr","CbclInter_18mo","0.015","0.005","0.00e+00"
"RsdbdAdhd_8yr","CbclInter_18mo","0.025","0.005","0.00e+00"
"RsdbdCondu_8yr","CbclInter_18mo","0.014","0.005","0.00e+00"
"RsdbdHyper_8yr","CbclInter_18mo","0.038","0.005","0.00e+00"
"RsdbdInatt_8yr","CbclInter_18mo","0.032","0.005","0.00e+00"
"RsdbdOdd_8yr","CbclInter_18mo","0.034","0.005","0.00e+00"
"ScaredFull_8yr","CbclInter_18mo","0.08","0.005","0.00e+00"
"ScqRestr_8yr","CbclInter_18mo","0.082","0.0054","0.00e+00"
"ScqSocia_8yr","CbclInter_18mo","0.015","0.0054","0.00e+00"
"SmfqFull_8yr","CbclInter_18mo","0.049","0.005","0.00e+00"
"SpinFull_8yr","CbclInter_18mo","0.069","0.0051","0.00e+00"
"SprakSeman_8yr","CbclInter_18mo","0.054","0.0066","0.00e+00"
"CapeFullC_14yr","CbclInter_18mo","0.007","0.0072","0.00e+00"
"PeqParenC_14yr","CbclInter_18mo","0.006","0.0072","0.00e+00"
"SbSchooC_14yr","CbclInter_18mo","0.003","0.0075","0.00e+00"
"SclAnxieC_14yr","CbclInter_18mo","0.023","0.0075","0.00e+00"
"SclDepreC_14yr","CbclInter_18mo","0.006","0.0075","0.00e+00"
"SdqProsoC_14yr","CbclInter_18mo","0.02","0.0081","0.00e+00"
"SdqProsoM_14yr","CbclInter_18mo","0.037","0.009","0.00e+00"
"SmfqFullC_14yr","CbclInter_18mo","-0.006","0.0081","0.00e+00"
"SmfqFullM_14yr","CbclInter_18mo","0.039","0.0088","0.00e+00"
"SpinFullC_14yr","CbclInter_18mo","0.023","0.0082","0.00e+00"
"SppaSociaC_14yr","CbclInter_18mo","0.019","0.0072","0.00e+00"
"SwlsFullC_14yr","CbclInter_18mo","-0.011","0.0072","0.00e+00"
"YptiFullC_14yr","CbclInter_18mo","0.006","0.0072","0.00e+00"
"EasEmoti_18mo","EasActiv_18mo","0.075","0.0036","0.00e+00"
"EasShyne_18mo","EasActiv_18mo","0.099","0.0036","0.00e+00"
"EasSocia_18mo","EasActiv_18mo","0.057","0.0036","0.00e+00"
"AsqLangu_3yr","EasActiv_18mo","0.032","0.0044","0.00e+00"
"AsqMotor_3yr","EasActiv_18mo","0.052","0.0044","0.00e+00"
"CbclExter_3yr","EasActiv_18mo","0.039","0.0043","0.00e+00"
"CbclInter_3yr","EasActiv_18mo","0.014","0.0043","0.00e+00"
"CfqPress_3yr","EasActiv_18mo","0.04","0.0044","0.00e+00"
"CfqRestr_3yr","EasActiv_18mo","0.014","0.0044","0.00e+00"
"EasActiv_3yr","EasActiv_18mo","0.256","0.0041","0.00e+00"
"EasEmoti_3yr","EasActiv_18mo","0.035","0.0043","0.00e+00"
"EasShyne_3yr","EasActiv_18mo","0.068","0.0043","0.00e+00"
"EasSocia_3yr","EasActiv_18mo","0.058","0.0043","0.00e+00"
"ItseaCompe_3yr","EasActiv_18mo","0.005","0.0043","0.00e+00"
"ItseaDysre_3yr","EasActiv_18mo","0.014","0.0043","0.00e+00"
"ItseaExter_3yr","EasActiv_18mo","0.013","0.0043","0.00e+00"
"ItseaInter_3yr","EasActiv_18mo","0.003","0.0043","0.00e+00"
"ScqRestr_3yr","EasActiv_18mo","0.005","0.0043","0.00e+00"
"ScqSocia_3yr","EasActiv_18mo","0.041","0.0043","0.00e+00"
"SdqProso_3yr","EasActiv_18mo","0.016","0.0043","0.00e+00"
"AsqLangu_5yr","EasActiv_18mo","0.013","0.0052","0.00e+00"
"AsqMotor_5yr","EasActiv_18mo","0.048","0.0052","0.00e+00"
"CastFull_5yr","EasActiv_18mo","0.021","0.0086","0.00e+00"
"CbclExter_5yr","EasActiv_18mo","0.025","0.0052","0.00e+00"
"CbclInter_5yr","EasActiv_18mo","0.011","0.0052","0.00e+00"
"CccCoher_5yr","EasActiv_18mo","0.008","0.0052","3.02e-315"
"CprsrsFull_5yr","EasActiv_18mo","0.023","0.0052","0.00e+00"
"EasActiv_5yr","EasActiv_18mo","0.133","0.0051","0.00e+00"
"EasEmoti_5yr","EasActiv_18mo","0.023","0.0052","0.00e+00"
"EasShyne_5yr","EasActiv_18mo","0.037","0.0052","0.00e+00"
"EasSocia_5yr","EasActiv_18mo","0.052","0.0052","9.64e-256"
"SlasFull_5yr","EasActiv_18mo","0.082","0.0101","0.00e+00"
"SprakExpre_5yr","EasActiv_18mo","-0.006","0.0056","0.00e+00"
"SprakRecep_5yr","EasActiv_18mo","-0.023","0.0056","0.00e+00"
"SprakSeman_5yr","EasActiv_18mo","-0.018","0.0056","0.00e+00"
"CccCoher_8yr","EasActiv_18mo","0.006","0.006","0.00e+00"
"CebqFull_8yr","EasActiv_18mo","0","0.0051","0.00e+00"
"NhpicBenev_8yr","EasActiv_18mo","0.022","0.0051","0.00e+00"
"NhpicConsc_8yr","EasActiv_18mo","0.027","0.0051","0.00e+00"
"RsdbdAdhd_8yr","EasActiv_18mo","0.038","0.005","0.00e+00"
"RsdbdCondu_8yr","EasActiv_18mo","-0.014","0.0051","0.00e+00"
"RsdbdHyper_8yr","EasActiv_18mo","0.027","0.0051","0.00e+00"
"RsdbdInatt_8yr","EasActiv_18mo","0.036","0.005","0.00e+00"
"RsdbdOdd_8yr","EasActiv_18mo","0.007","0.0051","0.00e+00"
"ScaredFull_8yr","EasActiv_18mo","0.011","0.0051","0.00e+00"
"ScqRestr_8yr","EasActiv_18mo","0.028","0.0054","0.00e+00"
"ScqSocia_8yr","EasActiv_18mo","0.015","0.0054","0.00e+00"
"SmfqFull_8yr","EasActiv_18mo","0.002","0.0051","0.00e+00"
"SpinFull_8yr","EasActiv_18mo","-0.001","0.0051","0.00e+00"
"SprakSeman_8yr","EasActiv_18mo","-0.01","0.0066","0.00e+00"
"CapeFullC_14yr","EasActiv_18mo","0","0.0072","2.29e-198"
"PeqParenC_14yr","EasActiv_18mo","0.003","0.0072","1.44e-168"
"SbSchooC_14yr","EasActiv_18mo","0.01","0.0075","1.65e-200"
"SclAnxieC_14yr","EasActiv_18mo","0.012","0.0075","0.00e+00"
"SclDepreC_14yr","EasActiv_18mo","0.011","0.0075","0.00e+00"
"SdqProsoC_14yr","EasActiv_18mo","-0.001","0.0081","1.36e-278"
"SdqProsoM_14yr","EasActiv_18mo","0.003","0.009","0.00e+00"
"SmfqFullC_14yr","EasActiv_18mo","0.006","0.0081","4.54e-149"
"SmfqFullM_14yr","EasActiv_18mo","0.019","0.0088","0.00e+00"
"SpinFullC_14yr","EasActiv_18mo","-0.001","0.0082","0.00e+00"
"SppaSociaC_14yr","EasActiv_18mo","0.006","0.0072","1.72e-116"
"SwlsFullC_14yr","EasActiv_18mo","0.001","0.0072","1.60e-288"
"YptiFullC_14yr","EasActiv_18mo","-0.001","0.0072","3.70e-230"
"EasShyne_18mo","EasEmoti_18mo","0.116","0.0036","0.00e+00"
"EasSocia_18mo","EasEmoti_18mo","0.006","0.0036","0.00e+00"
"AsqLangu_3yr","EasEmoti_18mo","0.009","0.0044","0.00e+00"
"AsqMotor_3yr","EasEmoti_18mo","0.019","0.0044","0.00e+00"
"CbclExter_3yr","EasEmoti_18mo","0.1","0.0043","0.00e+00"
"CbclInter_3yr","EasEmoti_18mo","0.041","0.0043","0.00e+00"
"CfqPress_3yr","EasEmoti_18mo","0.044","0.0044","0.00e+00"
"CfqRestr_3yr","EasEmoti_18mo","0.032","0.0044","0.00e+00"
"EasActiv_3yr","EasEmoti_18mo","0.058","0.0043","0.00e+00"
"EasEmoti_3yr","EasEmoti_18mo","0.234","0.0041","0.00e+00"
"EasShyne_3yr","EasEmoti_18mo","0.062","0.0043","0.00e+00"
"EasSocia_3yr","EasEmoti_18mo","0.034","0.0043","0.00e+00"
"ItseaCompe_3yr","EasEmoti_18mo","-0.01","0.0043","0.00e+00"
"ItseaDysre_3yr","EasEmoti_18mo","0.012","0.0043","0.00e+00"
"ItseaExter_3yr","EasEmoti_18mo","0.047","0.0043","0.00e+00"
"ItseaInter_3yr","EasEmoti_18mo","0.013","0.0043","0.00e+00"
"ScqRestr_3yr","EasEmoti_18mo","0.011","0.0043","0.00e+00"
"ScqSocia_3yr","EasEmoti_18mo","0.03","0.0043","0.00e+00"
"SdqProso_3yr","EasEmoti_18mo","0","0.0043","0.00e+00"
"AsqLangu_5yr","EasEmoti_18mo","0.009","0.0052","0.00e+00"
"AsqMotor_5yr","EasEmoti_18mo","0.023","0.0052","0.00e+00"
"CastFull_5yr","EasEmoti_18mo","0.017","0.0086","0.00e+00"
"CbclExter_5yr","EasEmoti_18mo","0.052","0.0052","0.00e+00"
"CbclInter_5yr","EasEmoti_18mo","0.032","0.0052","0.00e+00"
"CccCoher_5yr","EasEmoti_18mo","0.012","0.0052","0.00e+00"
"CprsrsFull_5yr","EasEmoti_18mo","0.045","0.0052","0.00e+00"
"EasActiv_5yr","EasEmoti_18mo","0.041","0.0052","0.00e+00"
"EasEmoti_5yr","EasEmoti_18mo","0.14","0.0051","0.00e+00"
"EasShyne_5yr","EasEmoti_18mo","0.045","0.0052","0.00e+00"
"EasSocia_5yr","EasEmoti_18mo","0.015","0.0052","6.31e-270"
"SlasFull_5yr","EasEmoti_18mo","0.068","0.0102","0.00e+00"
"SprakExpre_5yr","EasEmoti_18mo","-0.032","0.0056","0.00e+00"
"SprakRecep_5yr","EasEmoti_18mo","-0.05","0.0056","0.00e+00"
"SprakSeman_5yr","EasEmoti_18mo","-0.039","0.0056","0.00e+00"
"CccCoher_8yr","EasEmoti_18mo","0.004","0.006","0.00e+00"
"CebqFull_8yr","EasEmoti_18mo","-0.008","0.0051","0.00e+00"
"NhpicBenev_8yr","EasEmoti_18mo","0.065","0.005","0.00e+00"
"NhpicConsc_8yr","EasEmoti_18mo","0.049","0.005","0.00e+00"
"RsdbdAdhd_8yr","EasEmoti_18mo","0.049","0.005","0.00e+00"
"RsdbdCondu_8yr","EasEmoti_18mo","-0.027","0.005","0.00e+00"
"RsdbdHyper_8yr","EasEmoti_18mo","0.024","0.0051","0.00e+00"
"RsdbdInatt_8yr","EasEmoti_18mo","0.043","0.005","0.00e+00"
"RsdbdOdd_8yr","EasEmoti_18mo","0.034","0.005","0.00e+00"
"ScaredFull_8yr","EasEmoti_18mo","0.009","0.0051","0.00e+00"
"ScqRestr_8yr","EasEmoti_18mo","0.017","0.0054","0.00e+00"
"ScqSocia_8yr","EasEmoti_18mo","0.017","0.0054","0.00e+00"
"SmfqFull_8yr","EasEmoti_18mo","0.002","0.0051","0.00e+00"
"SpinFull_8yr","EasEmoti_18mo","0.005","0.0051","0.00e+00"
"SprakSeman_8yr","EasEmoti_18mo","-0.034","0.0066","0.00e+00"
"CapeFullC_14yr","EasEmoti_18mo","0.012","0.0072","6.76e-199"
"PeqParenC_14yr","EasEmoti_18mo","0.005","0.0072","2.29e-169"
"SbSchooC_14yr","EasEmoti_18mo","0.004","0.0075","1.61e-199"
"SclAnxieC_14yr","EasEmoti_18mo","0.01","0.0075","0.00e+00"
"SclDepreC_14yr","EasEmoti_18mo","0.008","0.0075","0.00e+00"
"SdqProsoC_14yr","EasEmoti_18mo","-0.006","0.0081","1.43e-281"
"SdqProsoM_14yr","EasEmoti_18mo","-0.011","0.009","0.00e+00"
"SmfqFullC_14yr","EasEmoti_18mo","0.01","0.0081","6.62e-137"
"SmfqFullM_14yr","EasEmoti_18mo","-0.011","0.0088","0.00e+00"
"SpinFullC_14yr","EasEmoti_18mo","0.013","0.0082","0.00e+00"
"SppaSociaC_14yr","EasEmoti_18mo","0.006","0.0072","7.80e-119"
"SwlsFullC_14yr","EasEmoti_18mo","0.012","0.0072","2.26e-289"
"YptiFullC_14yr","EasEmoti_18mo","0.003","0.0072","6.58e-232"
"EasSocia_18mo","EasShyne_18mo","0.56","0.0025","0.00e+00"
"AsqLangu_3yr","EasShyne_18mo","0.022","0.0044","0.00e+00"
"AsqMotor_3yr","EasShyne_18mo","0.027","0.0044","0.00e+00"
"CbclExter_3yr","EasShyne_18mo","0.016","0.0043","0.00e+00"
"CbclInter_3yr","EasShyne_18mo","0.046","0.0043","0.00e+00"
"CfqPress_3yr","EasShyne_18mo","0.033","0.0044","0.00e+00"
"CfqRestr_3yr","EasShyne_18mo","0.011","0.0044","0.00e+00"
"EasActiv_3yr","EasShyne_18mo","0.061","0.0043","0.00e+00"
"EasEmoti_3yr","EasShyne_18mo","0.044","0.0043","0.00e+00"
"EasShyne_3yr","EasShyne_18mo","0.239","0.0041","0.00e+00"
"EasSocia_3yr","EasShyne_18mo","0.154","0.0042","0.00e+00"
"ItseaCompe_3yr","EasShyne_18mo","0.02","0.0043","0.00e+00"
"ItseaDysre_3yr","EasShyne_18mo","0.013","0.0043","0.00e+00"
"ItseaExter_3yr","EasShyne_18mo","0.005","0.0043","0.00e+00"
"ItseaInter_3yr","EasShyne_18mo","0.028","0.0043","0.00e+00"
"ScqRestr_3yr","EasShyne_18mo","0.006","0.0043","0.00e+00"
"ScqSocia_3yr","EasShyne_18mo","0.04","0.0043","0.00e+00"
"SdqProso_3yr","EasShyne_18mo","0.016","0.0043","0.00e+00"
"AsqLangu_5yr","EasShyne_18mo","0.02","0.0052","0.00e+00"
"AsqMotor_5yr","EasShyne_18mo","0.023","0.0052","0.00e+00"
"CastFull_5yr","EasShyne_18mo","0.023","0.0086","0.00e+00"
"CbclExter_5yr","EasShyne_18mo","0.023","0.0052","0.00e+00"
"CbclInter_5yr","EasShyne_18mo","0.034","0.0052","0.00e+00"
"CccCoher_5yr","EasShyne_18mo","0.012","0.0052","0.00e+00"
"CprsrsFull_5yr","EasShyne_18mo","0.02","0.0052","0.00e+00"
"EasActiv_5yr","EasShyne_18mo","0.036","0.0052","0.00e+00"
"EasEmoti_5yr","EasShyne_18mo","0.039","0.0052","0.00e+00"
"EasShyne_5yr","EasShyne_18mo","0.154","0.0051","0.00e+00"
"EasSocia_5yr","EasShyne_18mo","0.083","0.0052","0.00e+00"
"SlasFull_5yr","EasShyne_18mo","0.017","0.0102","0.00e+00"
"SprakExpre_5yr","EasShyne_18mo","0.012","0.0056","0.00e+00"
"SprakRecep_5yr","EasShyne_18mo","-0.005","0.0056","0.00e+00"
"SprakSeman_5yr","EasShyne_18mo","0.003","0.0056","0.00e+00"
"CccCoher_8yr","EasShyne_18mo","0.011","0.006","0.00e+00"
"CebqFull_8yr","EasShyne_18mo","0.01","0.0051","0.00e+00"
"NhpicBenev_8yr","EasShyne_18mo","0.025","0.0051","0.00e+00"
"NhpicConsc_8yr","EasShyne_18mo","0.024","0.0051","0.00e+00"
"RsdbdAdhd_8yr","EasShyne_18mo","0.024","0.0051","0.00e+00"
"RsdbdCondu_8yr","EasShyne_18mo","-0.008","0.0051","0.00e+00"
"RsdbdHyper_8yr","EasShyne_18mo","0.025","0.0051","0.00e+00"
"RsdbdInatt_8yr","EasShyne_18mo","0.027","0.0051","0.00e+00"
"RsdbdOdd_8yr","EasShyne_18mo","0.022","0.0051","0.00e+00"
"ScaredFull_8yr","EasShyne_18mo","0.02","0.0051","0.00e+00"
"ScqRestr_8yr","EasShyne_18mo","0.017","0.0054","0.00e+00"
"ScqSocia_8yr","EasShyne_18mo","0.011","0.0054","0.00e+00"
"SmfqFull_8yr","EasShyne_18mo","0.011","0.0051","0.00e+00"
"SpinFull_8yr","EasShyne_18mo","0.022","0.0051","0.00e+00"
"SprakSeman_8yr","EasShyne_18mo","0.005","0.0066","0.00e+00"
"CapeFullC_14yr","EasShyne_18mo","0.003","0.0072","1.14e-254"
"PeqParenC_14yr","EasShyne_18mo","0.007","0.0072","5.71e-224"
"SbSchooC_14yr","EasShyne_18mo","0.005","0.0075","1.32e-249"
"SclAnxieC_14yr","EasShyne_18mo","0.008","0.0075","0.00e+00"
"SclDepreC_14yr","EasShyne_18mo","-0.004","0.0075","0.00e+00"
"SdqProsoC_14yr","EasShyne_18mo","0.012","0.0081","0.00e+00"
"SdqProsoM_14yr","EasShyne_18mo","0.018","0.009","0.00e+00"
"SmfqFullC_14yr","EasShyne_18mo","0.005","0.0081","2.00e-183"
"SmfqFullM_14yr","EasShyne_18mo","0.01","0.0088","0.00e+00"
"SpinFullC_14yr","EasShyne_18mo","-0.002","0.0082","0.00e+00"
"SppaSociaC_14yr","EasShyne_18mo","0.01","0.0072","3.57e-172"
"SwlsFullC_14yr","EasShyne_18mo","0.005","0.0072","0.00e+00"
"YptiFullC_14yr","EasShyne_18mo","0.002","0.0072","2.54e-287"
"AsqLangu_3yr","EasSocia_18mo","0.049","0.0044","0.00e+00"
"AsqMotor_3yr","EasSocia_18mo","0.027","0.0044","0.00e+00"
"CbclExter_3yr","EasSocia_18mo","0.018","0.0043","0.00e+00"
"CbclInter_3yr","EasSocia_18mo","0.06","0.0043","0.00e+00"
"CfqPress_3yr","EasSocia_18mo","-0.002","0.0044","0.00e+00"
"CfqRestr_3yr","EasSocia_18mo","-0.006","0.0044","0.00e+00"
"EasActiv_3yr","EasSocia_18mo","0.024","0.0043","0.00e+00"
"EasEmoti_3yr","EasSocia_18mo","-0.004","0.0043","0.00e+00"
"EasShyne_3yr","EasSocia_18mo","0.144","0.0042","0.00e+00"
"EasSocia_3yr","EasSocia_18mo","0.148","0.0042","0.00e+00"
"ItseaCompe_3yr","EasSocia_18mo","0.042","0.0043","0.00e+00"
"ItseaDysre_3yr","EasSocia_18mo","0.003","0.0043","0.00e+00"
"ItseaExter_3yr","EasSocia_18mo","0.013","0.0043","0.00e+00"
"ItseaInter_3yr","EasSocia_18mo","0.034","0.0043","0.00e+00"
"ScqRestr_3yr","EasSocia_18mo","0.019","0.0043","0.00e+00"
"ScqSocia_3yr","EasSocia_18mo","0.064","0.0043","0.00e+00"
"SdqProso_3yr","EasSocia_18mo","0.043","0.0043","0.00e+00"
"AsqLangu_5yr","EasSocia_18mo","0.045","0.0052","0.00e+00"
"AsqMotor_5yr","EasSocia_18mo","0.024","0.0052","0.00e+00"
"CastFull_5yr","EasSocia_18mo","0.042","0.0086","0.00e+00"
"CbclExter_5yr","EasSocia_18mo","0.028","0.0052","0.00e+00"
"CbclInter_5yr","EasSocia_18mo","0.04","0.0052","0.00e+00"
"CccCoher_5yr","EasSocia_18mo","0.032","0.0052","0.00e+00"
"CprsrsFull_5yr","EasSocia_18mo","0.026","0.0052","0.00e+00"
"EasActiv_5yr","EasSocia_18mo","0.007","0.0052","0.00e+00"
"EasEmoti_5yr","EasSocia_18mo","0.002","0.0052","0.00e+00"
"EasShyne_5yr","EasSocia_18mo","0.065","0.0052","0.00e+00"
"EasSocia_5yr","EasSocia_18mo","0.093","0.0051","0.00e+00"
"SlasFull_5yr","EasSocia_18mo","0.028","0.0102","0.00e+00"
"SprakExpre_5yr","EasSocia_18mo","0.048","0.0056","0.00e+00"
"SprakRecep_5yr","EasSocia_18mo","0.039","0.0056","0.00e+00"
"SprakSeman_5yr","EasSocia_18mo","0.052","0.0056","0.00e+00"
"CccCoher_8yr","EasSocia_18mo","0.037","0.006","0.00e+00"
"CebqFull_8yr","EasSocia_18mo","0.041","0.0051","0.00e+00"
"NhpicBenev_8yr","EasSocia_18mo","0.005","0.0051","0.00e+00"
"NhpicConsc_8yr","EasSocia_18mo","0","0.0051","0.00e+00"
"RsdbdAdhd_8yr","EasSocia_18mo","0.015","0.0051","0.00e+00"
"RsdbdCondu_8yr","EasSocia_18mo","0.011","0.0051","0.00e+00"
"RsdbdHyper_8yr","EasSocia_18mo","0.018","0.0051","0.00e+00"
"RsdbdInatt_8yr","EasSocia_18mo","0.022","0.0051","0.00e+00"
"RsdbdOdd_8yr","EasSocia_18mo","0.013","0.0051","0.00e+00"
"ScaredFull_8yr","EasSocia_18mo","0.016","0.0051","0.00e+00"
"ScqRestr_8yr","EasSocia_18mo","0.042","0.0054","0.00e+00"
"ScqSocia_8yr","EasSocia_18mo","0.008","0.0054","0.00e+00"
"SmfqFull_8yr","EasSocia_18mo","0.017","0.0051","0.00e+00"
"SpinFull_8yr","EasSocia_18mo","0.042","0.0051","0.00e+00"
"SprakSeman_8yr","EasSocia_18mo","0.05","0.0066","0.00e+00"
"CapeFullC_14yr","EasSocia_18mo","0.005","0.0072","0.00e+00"
"PeqParenC_14yr","EasSocia_18mo","0.012","0.0072","0.00e+00"
